rolle#darsteller#synchronsprecher
Hezekiah Moscow#Malachi Kirby#Ozan Ünal
Henry „Sugar“ Goodson#Stephen Graham#Olaf Reichmann
Mary Carr#Erin Doherty#Friederike Walke
Treacle Goodson#James Nelson-Joyce#Tommy Morgenstern
Lao#Jason Tobin#Rainer Fritzsche
Belle Downer#Jemma Carlton#Josephine Schmidt
Alec#Francis Lovehall#Ricardo Richter
Esme Long#Morgan Hilaire#Magdalena Höfner
Alice Diamond#Darci Shaw#Ronja Peters
William Punch Lewis#Daniel Mays#Torsten Michaelis
Verity Ross#Nadia Albina#Gundi Eberhard
Jane Carr#Susan Lynch#Heike Schroetter
Lord Lonsdale#Adam Nagaitis#Konrad Bösherz
Mr. Percival#Fergus Craig#Christian Gaul
Sharkey Devenish#Elliot Warren#Jonas Lauenstein
