rolle#schauspieler#synchronsprecher
Oh Ae-sun (mittleren Alters)#Moon So-ri#Sabine Falkenberg
Oh Ae-sun (junge Erwachsene)#Lee Ji-eun#Léa Mariage
Yang Geum-myeong (junge Erwachsene)#Lee Ji-eun#Léa Mariage
Oh Ae-sun (Kind)#Kim Tae-yeon#Asya Tolaz
Yang Gwan-sik (mittleren Alters)#Park Hae-joon#Jaron Löwenberg
Yang Gwan-sik (junger Erwachsener)#Park Bo-gum#Tim Schwarzmaier
Yang Gwan-sik (jugendlich)#Moon Woo-jin#Tim Schwarzmaier
Yang Gwan-sik (Kind)#Lee Chun-moo#Cyril Baudier
Bu Hyeon-suk#Lee Soo-kyung#Amelie Plaas-Link
Bu Oh-seong#Moon Yoo-kang#Fabian Kluckert
Bu Sang-gil#Choi Dae-hoon#Gerrit Schmidt-Foß
Go Chang-suk#Yang Shin-ji#Julia Biedermann
Go Eul-nam#Heo Jin#Ursula Werner
Hyeon I-suk#Oh Yeon-jae#Franziska Endres
Jeon Gwang-rye#Yeom Hye-ran#Rubina Nath
Chloe H. Lee#Yeom Hye-ran#Rubina Nath
Jeong Gong-rye#Baek Soo-ryun#Luise Lunow
Jeong Mi-in#Kim Sung-ryung#Sarah Riedel
Kang Seok-sam#Park Bu-keon#Christoph Banken
Kim Chun-ok#Na Moon-hee#Kornelia Boje
Kim Mi-hyang#Kim Geum-soon#Anke Reitzenstein
Kwon Gye-ok#Oh Min-ae#Katja Hiller
Na Min-ok#Uhm Ji-won#Josephine Schmidt
Oh Han-mu#Jung Hae-kyun#Gerrit Hamann
Oh Jenny#Kim Su-an#Betty Förster
Oh Jong-mi (Kind)#Kim Si-ha#Sofia Fehr
Oh Ye-rim#Pyo Young-seo#Nina Niknafs
Park Chung-seob#Kim Seon-ho#Jan Makino
Park Geum-myeong#Lee Gyu-hoe#Jörg Pintsch
Park Mak-cheon#Kim Yong-rim#Marianne Groß
Park Sae-bom (Kind)#Kyung Ha-yun#Liya Tolaz
Park Yeong-beom#Lee Jun-young#Sebastian Fitzner
Park Yeong-ran (mittleren Alters)#Jang Hye-jin#Harriet Kracht
Park Yeong-ran (junge Erwachsene)#Byeon Seo-yun#Alice Bauer
Song Bu-seon#Jung Yi-seo#Josephine Martz
Song Yeong-sam#Jeon Bae-soo#Rainer Fritzsche
Yang Dong-myeong (Kind)#Shin Sae-byuk#Fiodor Makino
Yang Eun-myeong#Kang You-seok#Amadeus Strobl
Yang Eun-myeong (Kind)#Lee Chae-hyun#Oskar Makino
Yang Geum-myeong (jugendlich)#Lee A-ra#Milena Rybiczka
Yang Gyeong-ok#Seo Hye-won#Melinda Rachfahl
Yang Sam-bo#Yoo Byung-hoon#Axel Strothmann
Yeom Byeong-cheol#Oh Jung-se#Timo Weisschnur
Yoon Bu-yong#Kang Myung-joo#Gundi Eberhard
Bun-hee#Lee Ji-hyun#Dorette Hugo
Chung-su#Cha Mi-kyung#Cornelia Waibel
Geum-ja#Kang Mal-geum#Andrea Cleven
Gyeong-ja#Baek Ji-won#Anne Düe
Heung-nam#Kim Young-woong#Sven Gerhardt
Hyeon-ja#Lee Ji-hyun#Antje von der Ahe
