spiel#spieler_1#ergebnis#spieler_2
1#(81) Hammad Miah#010:010#Jonas Luz (117)
2#(112) Huang Jiahao#410:410#Amaan Iqbal (A)
3#(96) Amir Sarkhosh#102:102#Mateusz Baranowski (A)
4#(97) Artemijs Žižins#104:104#Dylan Emery (A)
5#(104) Chris Totten#107:107#Mitchell Mann (113)
6#(89) Antoni Kowalski#410:410#Reanne Evans (114)
7#(105) Wang Yuchen#510:510#Brian Cini (A)
8#(88) Duane Jones#910:910#Florian Nüßle (A)
9#(85) Liam Graham#910:910#Fergal Quinn (A)
10#(108) Robbie McGuigan#610:610#Hatem Yassen (119)
11#(92) Ben Mertens#510:510#Daniel Womersley (A)
12#(101) Cheung Ka Wai#103:103#Zhao Xintong (A)
13#(100) Liam Davies#210:210#Ahmed Elsayed (122)
14#(93) Sunny Akani#310:310#Kreishh Gurbaxani (116)
15#(109) Farakh Ajaib#210:210#Baipat Siripaporn (121)
16#(84) Alexander Ursenbacher#610:610#Paul Deaville (A)
