rolle#darsteller#synchronsprecher
Susan McIntyre#Jodie Whittaker#Melanie Hinze
Tracey Taylor#Aimee Lou Wood#Lydia Morgenstern
Sam Hagan#Robert Carlyle#Rainer Doering
Des Collins#Rory Kinnear#Frank Schaff
Roy Thomas#Brendan Coyle#Michael Iwannek
Maggie Mahon#Claudia Jessie#Maximiliane Häcke
Derek#Joe Dempsie#Dennis Herrmann
Peter#Michael Socha#Tim Sander
Ted Jenkins#Stephen McMillan#Sebastian Fitzner
Pattie Walker#Karla Crome#Magdalena Helmig
Dani Holliday#Lauren Lyle#Lina Rabea Mohr
Pat Miller#Ben Batt#Armin Schlagwein
Bill Martin#Simon Harrison#Marius Clarén
Len Jenkins#Simon Armstrong#Hanns Jörg Krumpholz
Mr. McPherson#Derek Horsham#Dennis Schmidt-Foß
David Penman#Phillip Childs#Hans Bayer
David Wilby QC#Steven Elder#Frank Röth
