listen_listen#listen_listen.1#stimmen_anzahl#stimmen_%#stimmen_+/−#mandate_anzahl#mandate_+/−
<NA>#Aliança Democrática (AD) (a) Partido Social Democrata (PPD/PSD) Centro Democrático e Social – Partido Popular (CDS-PP)#2.008.437#3179#▲2,94#91#▲11
<NA>#Partido Socialista (PS)#1.442.194#2283#▼5,17#58#▼20
<NA>#Chega (CH)#1.437.881#2276#▲4,69#60#▲10
<NA>#Iniciativa Liberal (IL)#338.664#536#▲0,42#9#▲1
<NA>#LIVRE (L)#257.273#407#▲0,91#6#▲2
<NA>#Coligação Democrática Unitária (CDU) (b) Partido Comunista Português (PCP)  Partido Ecologista Os Verdes (PEV)#183.741#291#▼0,26#3#▼1
<NA>#Bloco de Esquerda (B.E.)#125.710#199#▼2,37#1#▼4
<NA>#Pessoas – Animais – Natureza (PAN)#86.946#138#▼0,57#1#▬
<NA>#Alternativa Democrática Nacional (ADN)#81.594#129#▼0,29#<NA>#▬
<NA>#Juntos pelo Povo (JPP)#20.911#033#▲0,03#1#▲1
<NA>#Reagir Incluir Reciclar (R.I.R.)#13.852#022#▼0,18#<NA>#▬
<NA>#Volt Portugal (VP)#12.256#019#▲0,01#<NA>#▬
<NA>#Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)#11.942#019#▼0,05#<NA>#▬
<NA>#Nova Direita (ND)#10.205#016#▼0,10#<NA>#▬
<NA>#Ergue-te (E)#9.190#015#▲0,06#<NA>#▬
<NA>#Partido Liberal Social (PLS)#7.322#012#neu#<NA>#neu
<NA>#Partido Popular Monárquico (PPM)#5.650#009#▲0,08#<NA>#▬
<NA>#Nós, Cidadãos! (NC)#3.312#005#▲0,01#<NA>#▬
<NA>#Partido da Terra (MPT)#471#001#▼0,06#<NA>#▬
<NA>#Partido Trabalhista Português (PTP)#421#001#▼0,03#<NA>#▬
Gültige Stimmen#Gültige Stimmen#6.057.972#9589#▲0,25#226#▬
Leere Stimmzettel#Leere Stimmzettel#87.598#139#▬0,00#<NA>#<NA>
Ungültige Stimmzettel#Ungültige Stimmzettel#172.379#273#▼0,24#<NA>#<NA>
Gesamt#Gesamt#6.317.949#10000#▬#<NA>#<NA>
Wähler#Wähler#6.317.949#5823#▼1,61#<NA>#<NA>
Wahlberechtigte#Wahlberechtigte#10.850.215#<NA>#<NA>#<NA>#<NA>
Quelle: Secretaria-Geral do Ministério da Administração Interna#Quelle: Secretaria-Geral do Ministério da Administração Interna#Quelle: Secretaria-Geral do Ministério da Administração Interna#Quelle: Secretaria-Geral do Ministério da Administração Interna#Quelle: Secretaria-Geral do Ministério da Administração Interna#Quelle: Secretaria-Geral do Ministério da Administração Interna#Quelle: Secretaria-Geral do Ministério da Administração Interna
