spiel#spieler_1#ergebnis#spieler_2
1#(65) Ishpreet Singh Chadha#04:04#Baipat Siripaporn (115)
2#(96) Allan Taylor#34:34#Haris Tahir (101)
3#(80) Andrew Higginson#04:04#Daniel Womersley (A)
4#(81) Liam Graham#34:34#Iulian Boiko (A)
5#(88) Dean Young#43:43#Mitchell Mann (110)
6#(73) Ross Muir#24:24#Manasawin Phetmalaikul (108)
7#(89) Duane Jones#42:42#Dylan Emery (A)
8#(72) Stuart Carrington#kl.#Bai Yulu (106)
9#(69) Xing Zihao#43:43#Haydon Pinhey (99)
10#(92) Antoni Kowalski#41:41#Liam Davies (98)
11#(76) Ian Burns#04:04#Mostafa Dorgham (104)
12#(85) Liam Pullen#34:34#Kreishh Gurbaxani (111)
13#(84) Zak Surety#42:42#Wang Yuchen (102)
14#(77) Oliver Lines#04:04#Ahmed Elsayed (116)
15#(93) Amir Sarkhosh#34:34#Cheung Ka Wai (97)
16#(68) Stan Moody#04:04#Chris Totten (100)
