spiel#spieler_1#ergebnis#spieler_2
1 a#(1) Judd Trump#05:05#Xing Zihao (74)
2#(64) Long Zehuang#25:25#Mitchell Mann (113)
3#(32) Stephen Maguire#54:54#Alfie Burden (77)
4#(33) Joe O’Connor#35:35#Alexander Ursenbacher (85)
5#(A) Paul Deaville b#51:51#Antoni Kowalski (98)
6#(49) Matthew Stevens#25:25#David Grace (65)
7#(17) Neil Robertson#kl.#Michael Holt (79)
8#(48) Martin O’Donnell#45:45#Bulcsú Révész (94)
9#(41) Yuan Sijun#05:05#Haydon Pinhey (104)
10#(24) Hossein Vafaei#35:35#Ben Mertens (91)
11#(56) Joe Perry#05:05#Kreishh Gurbaxani (117)
12 a#(9) Ding Junhui#15:15#Jiang Jun (71)
13#(40) Thepchaiya Un-Nooh#35:35#Andrew Higginson (84)
14#(25) Stuart Bingham#51:51#Chris Totten (103)
15 a#(57) Sanderson Lam#51:51#Zhou Jinhao (WC)
16#(8) Shaun Murphy#35:35#Mostafa Dorgham (108)
17#(5) Mark Allen#45:45#Rory Thor (76)
18 a#(60) David Lilley#45:45#Cao Jin (WC)
19#(28) Wu Yize#05:05#Robbie McGuigan (105)
20#(37) Jackson Page#15:15#Ashley Carty (67)
21#(12) Ali Carter#45:45#Joshua Thomond c (A)
22#(53) He Guoqiang#05:05#Huang Jiahao (114)
23#(21) Jack Lisowski#35:35#Julien Leclercq (100)
24 a#(44) Scott Donaldson#05:05#Wang Yuhang (WC)
25#(45) Ben Woollaston#25:25#Simon Blackwell (A)
26#(20) David Gilbert#53:53#Amir Sarkhosh (96)
27#(52) Jamie Jones#35:35#Liam Pullen (88)
28#(13) Barry Hawkins#15:15#Cheung Ka Wai (99)
29#(36) Ricky Walden#05:05#Hatem Yassen (118)
30#(29) Ryan Day#25:25#Marco Fu (66)
31#(61) Jamie Clarke#51:51#Louis Heathcote (68)
32 a#(A) Daniel Womersley d#52:52#Stuart Carrington (75)
