spieler_spieler#erzieltes_preisgeld_in_£_world_grand_prix#erzieltes_preisgeld_in_£_players_championship#erzieltes_preisgeld_in_£_tour_championship#gesamtsumme_gesamtsumme
Neil Robertson#180.0#35.000#30.000#245.0
John Higgins#20.0#35.000#150.000#205.0
Kyren Wilson#15.0#150.000#30.000#195.0
Judd Trump#35.0#70.000#30.000#135.0
Mark Selby#20.0#20.000#60.000#100.0
Stuart Bingham#80.0#<NA>#<NA>#80.0
Shaun Murphy#35.0#20.000#20.000#75.0
Barry Hawkins#15.0#15.000#40.000#70.0
Xiao Guodong#20.0#20.000#30.000#70.0
Ding Junhui#10.0#15.000#40.000#65.0
Wu Yize#15.0#15.000#20.000#50.0
Mark Williams#10.0#20.000#20.000#50.0
