rolle#schauspieler#synchronsprecher
Dr. Jeong Se-ok#Park Eun-bin#Leonie Landa
Dr. Choi Deok-hee#Sol Kyung-gu#Achim Buch
Seo Yeong-ju#Yoon Chan-young#Flemming Stein
Dr. Ha U-yeong#Lee Jung-sic#Jesse Grimm
Dr. Han Hyeon-ho#Park Byung-eun#Vincent Fallow
Dr. Song Ji-nu#Oh Yong#Marc Seidenberg
Alan Kim#Han Joon-woo#Patrick Stamme
Jung Byeong-ho#Shin Sung-kyun#Manfred Liptow
Kim Doo-bong#Kim Jong-man#Christos Topulos
Kim Eun-tae#Kim Jae-gun#Sven Dahlem
Kim Ki-young#Ryu Hae-jun#Lino Böttcher
Kim Myeong-jin#Kim Hak-sun#Volker Hanisch
Kim Se-guk#Yoon Jung-hoon#Benjamin Hansen
Kim Yeong-sin#Kim Soo-yeon#Elisa Pioch
Kwon Sin-gyu#Lee Tae-young#Jonas Minthe
Lee Wan-il#Jang Won-hyung#David Berton
Min Hyeon-ju#Won Hyun-joon#Christian Rudolf
Na Hye-su#Lee Seung-yeon#Sarah Diener
Pyo In-guk#Kim Yeon-chul#Martin Brücker
Song Eun-chae#Lee Ji-hyun#Cornelia Prescher
Yang Dong-yeong#Yoo Seung-mok#Nilz Bessel
Nanae Ichida#Haruhi Ryōga#Elena Wilms
Ggong-chi#Lee Dong-hyun#Ben Küch
Mi-ran#Jang Sun#Katharina von Keller
Sang-gi#Kim Chan-hyung#Michael Bideller
Yong-seok#Won Choon-gyu#Kai Henrik Möller
Frau Ra#Kang Ji-eun#Gabriele Libbach
Herr Kang#Lee Dong-hee#Frank Jordan
Polizeibeamter Park#Moon Jung-woong#Nils Rieke
Teamleiter Seong#Oh Hyun-soo#Martin May
