pos.#nr.#fahrer#rennzeit#rd.#ø_mph#führungsrunden#stopps#pt.
1#10#Alex Palou#1:51:08.5118#100#97.173#26.0#3#51
2#9#Scott Dixon#1:51:11.3787#100#97.131#5.0#3#41
3#2#Josef Newgarden#1:51:14.7162#100#97.083#2.0#3#36
4#3#Scott McLaughlin#1:51:17.1996#100#97.047#40.0#3#36
5#27#Kyle Kirkwood#1:51:19.4827#100#97.014#<NA>#3#30
6#28#Marcus Ericsson#1:51:31.5953#100#96.838#<NA>#3#28
7#60#Felix Rosenqvist#1:51:32.8013#100#96.82#<NA>#3#26
8#7#Christian Lundgaard#1:51:40.7163#100#96.706#23.0#3#25
9#18#Rinus VeeKay#1:51:47.4561#100#96.609#<NA>#3#22
10#20#Alexander Rossi#1:51:50.8503#100#96.56#<NA>#3#20
11#5#Patricio O’Ward#1:51:51.2411#100#96.554#<NA>#4#19
12#15#Graham Rahal#1:51:57.0110#100#96.471#<NA>#3#18
13#4#David Malukas#1:51:57.6618#100#96.462#<NA>#3#17
14#14#Santino Ferrucci#1:51:58.0334#100#96.457#<NA>#3#16
15#21#Christian Rasmussen#1:52:00.8953#100#96.416#<NA>#3#15
16#26#Colton Herta#1:52:01.2166#100#96.411#1.0#3#15
17#76#Conor Daly#1:52:08.1442#100#96.312#<NA>#3#13
18#8#Kyffin Simpson#1:52:08.6819#100#96.304#<NA>#3#12
19#90#Callum Ilott#1:52:09.7427#100#96.289#<NA>#3#11
20#83#Robert Shwartzman (R)#1:52:10.8872#100#96.273#<NA>#3#10
21#77#Sting Ray Robb#1:51:18.9181#99#96.051#<NA>#3#9
22#30#Devlin DeFrancesco#1:51:36.6424#99#95.797#<NA>#4#8
23#51#Jacob Abel (R)#1:52:05.2339#99#95.39#<NA>#3#7
24#66#Marcus Armstrong#Unfall#46#86.166#3.0#2#7
25#6#Nolan Siegel#Unfall#0#<NA>#<NA>#0#5
26#12#Will Power#Unfall#0#<NA>#<NA>#0#5
27#45#Louis Foster (R)#Unfall#0#<NA>#<NA>#0#5
