rolle#schauspieler#synchronsprecher
An Young-ha#Cha Woo-jin#Leonard Hohm
Bae Chun-sun#Song Ho-bum#Christian Giegerich
Byun Ji-yun#Hong Bi-ra#Chiara Haurand
Choi San#Hyun Bong-sik#Thomas Wenke
Hwang In-chan#Roh Jae-won#Fabian Wittkowski
Hong Ra-eun#Park Mi-hyun#Alexandra Ludwig
Hyeon Ho-geun#Jang Kyug-su#Maximilian Laprell
Joo Gi-bbeum#Ji Su-yeon#Helene Schmitt
Kang Chi-mok#Lee Hee-joon#Christian Intorp
Kong Young-im#Park Sung-yeon#Marion Hartmann
Lee Seung-ju#Park Gyu-young#Katharina Friedl
Lee Nam-suk#Oh Min-ae#Simone Brahmann
Nam Hyuk-su#Kim Doh-yon#Max Schira
Nam Na-ri#Lee Joo-young#Christine Garbe
Park Il-hyung#Park Eung-soo#Stefan Günther
Ro Su-kwang#Kwak Ja-hyoung#Marc Rosenberg
Seo Yang-hee#Ok Ja-yeon#Friederike Sipp
Tae Dong-su#Jeong Man-sik#Gerd Meyer
Yang Jung-ho#Kim Sung-kyun#Paul Sedlmeir
Yoon Dong-hoon#Ji Jin-hee#Mark Kuhn
Yoon Go-eun#Ahn So-yo#Bettina Zech
