#name#bild#eintragsdatum#lage#ort#beschreibung
1#66 Drive-In#66 Drive-In#2003 ID-Nr. 03000182#17231 Old 66 Boulevard  37° 10′ 24″ N, 94° 22′ 6″ W#Carthage#<NA>
2#Carthage Courthouse Square Historic District#<NA>#1980 ID-Nr. 80002370#Abgegrenzt durch East Central Avenue, South Maple Street, Lincoln Street und West 5th Street  37° 10′ 36″ N, 94° 18′ 37″ W#Carthage#<NA>
3#Carthage South Historic District#Carthage South Historic District#1982 ID-Nr. 82004915#Stadtgrenze von Carthage  37° 10′ 8″ N, 94° 18′ 38″ W#Carthage#Teil der City of Carthage MPS
4#Cassill Place Historic District#Cassill Place Historic District#1986 ID-Nr. 86000005#West Central Street, östlich der Blanche Street  37° 10′ 44″ N, 94° 19′ 13″ W#Carthage#Teil der City of Carthage MPS
5#Cave Spring School and Cave Spring Cemetery#<NA>#2012 ID-Nr. 12000416#4323 County Road 4  37° 6′ 42,5″ N, 94° 3′ 45,1″ W#Sarcoxie#Teil der MPS One-Teacher Public Schools of Missouri
6#Colonial Apartments#Colonial Apartments#2001 ID-Nr. 01000835#406 Walnut Street  37° 10′ 29″ N, 94° 18′ 51″ W#Carthage#<NA>
7#Elks Club Lodge No. 501#Elks Club Lodge No. 501#1985 ID-Nr. 85001188#318-320 West 4th Street  37° 5′ 15″ N, 94° 30′ 58″ W#Joplin#<NA>
8#Fifth and Main Historic District#Fifth and Main Historic District#2006 ID-Nr. 06000541#501-513 South Main Street, 502-508 Virginia Street  37° 5′ 19″ N, 94° 30′ 48″ W#Joplin#<NA>
9#Fox Theater#Fox Theater#1990 ID-Nr. 90001100#415 South Main Street  37° 5′ 18″ N, 94° 30′ 51″ W#Joplin#<NA>
10#Gentry Apartments#Gentry Apartments#2006 ID-Nr. 06000683#318 South Wall Street  37° 5′ 23″ N, 94° 30′ 57″ W#Joplin#<NA>
11#Inter-State Grocer Company Building#Inter-State Grocer Company Building#2008 ID-Nr. 08001024#1027-1035 South Main Street  37° 4′ 45″ N, 94° 30′ 48″ W#Joplin#Teil der MPS Historic Resources of Joplin, Missouri
12#Jasper County Courthouse#Jasper County Courthouse#1973 ID-Nr. 73001041#Courthouse Square  37° 10′ 45″ N, 94° 18′ 37″ W#Carthage#<NA>
13#Joplin and Wall Avenues Historic District#<NA>#2010 ID-Nr. 10000819#None#Joplin#Teil der MPS Historic Resources of Joplin, Missouri
14#Joplin Carnegie Library#Joplin Carnegie Library#1979 ID-Nr. 79001377#9th Street und Wall Street  37° 4′ 55″ N, 94° 30′ 57″ W#Joplin#<NA>
15#Joplin Connor Hotel#<NA>#1973 ID-Nr. 73001042#324 Main Street  37° 5′ 17″ N, 94° 30′ 49″ W#Joplin#<NA>
16#Joplin Downtown Historic District#Joplin Downtown Historic District#2008 ID-Nr. 08000661#South Main Street zwischen East 4th Street und East 6th Street  37° 5′ 12″ N, 94° 30′ 48″ W#Joplin#Teil der MPS Historic Resources of Joplin, Missouri
17#Joplin Furniture Company Building#<NA>#2012 ID-Nr. 12000473#702-708 Main Street  37° 5′ 1,7″ N, 94° 30′ 49,2″ W#Joplin#Teil der MPS Historic Resources of Joplin, Missouri
