nr._(ges.)#nr._(st.)#deutscher_titel#original­titel#erstaus­strahlung_usa#deutsch­sprachige_erstaus­strahlung_(d)#regie#drehbuch
73#1#Im freien Fall#Enemy of the State#11. Feb. 2018#15. Juni 2018#Lesli Linka Glatter#Debora Cahn, Alex Gansa
74#2#Gute Absichten#Rebel Rebel#18. Feb. 2018#15. Juni 2018#Lesli Linka Glatter#Patrick Harbinson, Chip Johannessen
75#3#Der Strafzettel#Standoff#25. Feb. 2018#22. Juni 2018#Michael Klick#Anya Leta, Ron Nyswaner
76#4#Live aus dem freien Amerika#Like Bad at Things#4. März 2018#22. Juni 2018#Alex Graves#Chip Johannessen, Patrick Harbinson
77#5#Die üblichen Verdächtigen#Active Measures#11. März 2018#29. Juni 2018#Charlotte Sieling#Debora Cahn
78#6#Krupins Kreuz#Species Jump#18. März 2018#29. Juni 2018#Michael Offer#Anya Leta, Ron Nyswaner
79#7#Wellingtons Briefe#Andante#25. März 2018#6. Juli 2018#Lesli Linka Glatter#Patrick Harbinson, Chip Johannessen
80#8#Lügen, Gerüchte, Twitter#Lies, Amplifiers, F**king Twitter#1. Apr. 2018#6. Juli 2018#Tucker Gates#Patrick Harbinson, Chip Johannessen
81#9#Der nützliche Idiot#Useful Idiot#8. Apr. 2018#13. Juli 2018#Nelson McCormick#Debora Cahn
82#10#Die Uhr tickt#Clarity#15. Apr. 2018#13. Juli 2018#Dan Attias#Howard Gordon, Ron Nyswaner
83#11#Die Welt sieht zu#All In#22. Apr. 2018#20. Juli 2018#Alex Graves#Patrick Harbinson, Chip Johannessen
84#12#Die Brücke über die Narva#Paean to the People#29. Apr. 2018#20. Juli 2018#Lesli Linka Glatter#Alex Gansa
