encuestadora_encuestadora#fecha_fecha#muestra_muestra#lnp_unnamed:_3_level_1#alp_unnamed:_4_level_1#grn_unnamed:_5_level_1#onp_unnamed:_6_level_1#otros_otros#diferencia_diferencia
Elecciones federales 2025#3 de mayo de 2025#<NA>#31.8#34.6#12.2#6.4#15.0#2.8
YouGov[36]​#17 – 22 Abr#1500#31.0#33.5#14.0#10.5#11.0#2.5
Roy Morgan[37]​#14 – 20 Abr#1605#34.0#34.5#14.5#6.0#11.0#0.5
Freshwater Strategy[38]​#14 – 16 Abr#1062#39.0#32.0#12.0#<NA>#17.0#7.0
YouGov[39]​#11 – 15 Abr#1506#33.0#33.0#13.0#7.0#14.0#<NA>
Resolve Strategic[40]​#9 – 13 Abr#1642#34.0#31.0#13.0#6.0#16.0#3.0
Roy Morgan[41]​#3 – 7 Abr#1708#33.5#32.0#14.5#6.0#14.0#1.5
YouGov[42]​#28 Mar – 3 Abr#1622#35.0#30.0#13.0#7.0#15.0#5.0
Redbridge/Accent[43]​#28 Mar – 1 Abr#1006#36.0#33.0#12.0#<NA>#19.0#3.0
Freshwater Strategy[44]​#28 – 30 Mar#1059#39.0#32.0#12.0#<NA>#17.0#7.0
Resolve Strategic[45]​#26 – 30 Mar#3237#37.0#29.0#13.0#7.0#14.0#8.0
Roy Morgan[46]​#24 – 30 Mar#1377#35.0#32.0#13.0#5.5#14.5#3.0
YouGov[47]​#27 Feb – 26 Mar#10217#35.5#29.8#13.2#9.3#12.2#5.7
YouGov[48]​#14 – 19 Mar#1500#37.0#31.0#13.0#7.0#12.0#6.0
Roy Morgan[49]​#10 – 16 Mar#2097#34.0#32.5#13.5#5.0#15.0#1.5
Freshwater Strategy[50]​#13 – 15 Mar#1051#39.0#31.0#14.0#<NA>#16.0#8.0
YouGov[51]​#7 – 13 Mar#1526#36.0#31.0#13.5#7.5#12.0#5.0
YouGov[52]​#28 Feb – 6 Mar#1504#36.0#31.0#13.0#7.0#13.0#5.0
YouGov[53]​#21 – 27 Feb#1501#37.0#28.0#14.0#8.0#13.0#9.0
Roy Morgan[54]​#17 – 23 Feb#1666#36.5#31.5#13.5#5.0#13.5#5.0
YouGov[55]​#22 Ene – 12 Feb#8732#37.4#29.1#12.7#9.1#11.7#8.3
Roy Morgan[56]​#3 – 9 Feb#1688#40.5#29.0#11.0#4.0#15.5#11.5
RedBridge Group#3 – 7 Feb#1013#40.0#31.0#11.0#<NA>#18.0#9.0
Essential[57]​#29 Ene – 3 Feb#1150#36.0#30.0#12.0#8.0#14.0#6.0
Resolve Strategic[58]​#15 – 21 Ene#1616#38.0#27.0#13.0#7.0#15.0#11.0
Freshwater Strategy[59]​#17 – 19 Ene#1063#40.0#32.0#13.0#<NA>#15.0#8.0
Essential[57]​#15 – 19 Ene#1132#37.0#30.0#12.0#7.0#14.0#7.0
Roy Morgan[60]​#13 – 19 Ene#1564#42.0#28.5#13.0#4.0#12.5#13.5
YouGov[61]​#9 – 15 Ene#1504#39.0#32.0#12.0#7.0#10.0#7.0
Roy Morgan[62]​#6 – 12 Ene#1721#40.5#30.0#12.5#4.5#12.5#10.5
Roy Morgan[63]​#30 Dic – 5 Ene#1446#40.5#31.0#12.0#3.5#13.0#9.5
Elecciones federales 2022#21 de mayo de 2022#<NA>#35.7#32.58#12.25#4.96#14.51#3.12
