pos_quinteto_inicial[6]​#jugador_quinteto_inicial[6]​#equipo_quinteto_inicial[6]​#n.º_de_selec._quinteto_inicial[6]​
G#Jalen Brunson#New York Knicks#2
G#Donovan Mitchell#Cleveland Cavaliers#6
F#Jayson Tatum#Boston Celtics#6
F#Giannis Antetokounmpo#Milwaukee Bucks#9
C#Karl-Anthony Towns#New York Knicks#5
Reservas#Reservas#Reservas#Reservas
G#Jaylen Brown#Boston Celtics#4
G#Cade Cunningham#Detroit Pistons#1
G#Darius Garland#Cleveland Cavaliers#2
G#Tyler Herro#Miami Heat#1
G#Damian Lillard#Milwaukee Bucks#9
F#Evan Mobley#Cleveland Cavaliers#1
F#Pascal Siakam#Indiana Pacers#3
Reemplazos#Reemplazos#Reemplazos#Reemplazos
G#Trae Young#Atlanta Hawks#4
Entrenador: Kenny Atkinson (Cleveland Cavaliers)#Entrenador: Kenny Atkinson (Cleveland Cavaliers)#Entrenador: Kenny Atkinson (Cleveland Cavaliers)#Entrenador: Kenny Atkinson (Cleveland Cavaliers)
