n.º_en_serie#n.º_en_temp.#título#dirigido_por#escrito_por#fecha_de_emisión_original [68]​#audiencia_(millones)
Parte 1#Parte 1#Parte 1#Parte 1#Parte 1#Parte 1#Parte 1
47#1#«Live Free or Die»#Michael Slovis#Vince Gilligan#15 de julio de 2012#2,93[69]​
48#2#«Madrigal»#Michelle MacLaren#Vince Gilligan#22 de julio de 2012#2,29[70]​
49#3#«Hazard Pay»#Adam Bernstein#Peter Gould#29 de julio de 2012#2,20[71]​
50#4#«Fifty-One»#Rian Johnson#Sam Catlin#5 de agosto de 2012#2,29[72]​
51#5#«Dead Freight»#George Mastras#George Mastras#12 de agosto de 2012#2,29[73]​
52#6#«Buyout»#Colin Bucksey#Gennifer Hutchison#19 de agosto de 2012#2,81[74]​
53#7#«Say My Name»#Thomas Schnauz#Thomas Schnauz#26 de agosto de 2012#2,98[75]​
54#8#«Gliding Over All»#Michelle MacLaren#Moira Walley-Beckett#2 de septiembre de 2012#2,78[76]​
Parte 2#Parte 2#Parte 2#Parte 2#Parte 2#Parte 2#Parte 2
55#9#«Blood Money»#Bryan Cranston#Peter Gould#11 de agosto de 2013#5,92[77]​
56#10#«Buried»#Michelle MacLaren#Thomas Schnauz#18 de agosto de 2013#4,77[78]​
57#11#«Confessions»#Michael Slovis#Gennifer Hutchison#25 de agosto de 2013#4,85[79]​
58#12#«Rabid dog»#Sam Catlin#Sam Catlin#1 de septiembre de 2013#4,41[80]​
59#13#«To'hajiilee»#Michelle MacLaren#George Mastras#8 de septiembre de 2013#5,11[81]​
60#14#«Ozymandias»#Rian Johnson#Moira Walley-Beckett#15 de septiembre de 2013#6,37[82]​
61#15#«Granite State»#Peter Gould#Peter Gould#23 de septiembre de 2013#6,58[83]​
62#16#«Felina»#Vince Gilligan#Vince Gilligan#30 de septiembre de 2013#10,28[84]​
