episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[46]​_nacional#índices_de_audiencia_(nielsen_korea)[46]​_seúl
1#18 de abril de 2025#9,2 % (3.ª)#9.2% (2.ª)
2#19 de abril de 2025#8,3 % (2.ª)#8,4 % (2.ª)
3#25 de abril de 2025#9,3 % (3.ª)#9,0 % (1.ª)
4#26 de abril de 2025#9,2 % (2.ª)#8,8 % (2.ª)
5#2 de mayo de 2025#8,8 % (2.ª#8,2 % (2.ª)
6#3 de mayo de 2025#8,8 % (2.ª)#8,3 % (2.ª)
7#9 de mayo de 2025#9,8 % (2.ª)#9,6 % (1.ª)
8#10 de mayo de 2025#9,5 % (2.ª)#9,1 % (2.ª)
9#16 de mayo de 2025#10,7 % (1.ª)#10,0 % (1.ª)
10#17 de mayo de 2025#9,8 % (2.ª)#9,3 % (2.ª)
11#23 de mayo de 2025#8,7 % (1.ª)#8,1 % (1.ª)
12#24 de mayo de 2025#9,7 % (2.ª)#9,1 % (2.ª)
13#30 de mayo de 2025#9,8 % (2.ª)#9,3 % (1.ª)
14#31 de mayo de 2025#9,5 % (2.ª)#9,1 % (2.ª)
15#6 de junio de 2025#9,4 % (2.ª)#9,0 % (1.ª)
16#7 de junio de 2025#11,0 % (2.ª)#10,1 % (2.ª)
Promedio#Promedio#9,5 %#9,0 %
