episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[36]​_nacional#índices_de_audiencia_(nielsen_korea)[36]​_seúl
1#17 de febrero de 2025#3,534 % (1.ª)#3,663 % (1.ª)
2#18 de febrero de 2025#3,459 % (1.ª)#3,352 % (1.ª)
3#24 de febrero de 2025#4,533 % (1.ª)#4,560 % (1.ª)
4#25 de febrero de 2025#4,079 % (1.ª)#4,150 % (1.ª)
5#3 de marzo de 2025#4,927 % (1.ª)#4,905 % (1.ª)
6#4 de marzo de 2025#5,078 % (1.ª)#4,871 % (1.ª)
7#10 de marzo de 2025#4,456 % (1.ª)#4,620 % (1.ª)
8#11 de marzo de 2025#4,011 % (1.ª)#4,112 % (1.ª)
9#17 de marzo de 2025#3,727 % (1.ª)#3,801 % (1.ª)
10#18 de marzo de 2025#4,169 % (1.ª)#4,388 % (1.ª)
11#24 de marzo de 2025#4,347 % (2.ª)#3,940 % (2.ª)
12#24 de marzo de 2025#4,132 % (1.ª)#3,407 % (1.ª)
Promedio#Promedio#4,204 %#4,147 %
