país#lista#mejor_posición
Alemania#German Top 100 Albums[185]​#1
Argentina#Argentian Top 10 Albums[178]​#1
Australia#ARIA Top 50 Albums[206]​#1
Austria#Ö3 Austria Top 40[345]​#1
Bélgica (Flandes)#Ultratop 200 Albums[193]​#1
Bélgica (Valonia)#Ultratop 200 Albums[194]​#1
Canadá#Canadian Albums[176]​#1
Croacia#Croatian Top 40 Albums[346]​#1
Dinamarca#Danish Top 40 Albums[203]​#3
Escocia#Scottish Albums[163]​#1
Eslovaquia#Slovak Top 100 Albums[347]​#1
España#Spanish Top 100 Albums[348]​#1
Estados Unidos#Billboard 200[176]​#1
Estados Unidos#Top Streaming Albums[176]​#1
Estados Unidos#Top Album Sales[176]​#1
Estados Unidos#Top Dance Albums[176]​#1
Estados Unidos#Top Vinyl Albums[176]​#1
Finlandia#Finnish Top 50 Albums[200]​#1
Francia#French Top 200 Albums[190]​#2
Grecia#IFPI Top 75 Albums[349]​#12
Hungría#Album Top 40 Slágerlista[350]​#1
Irlanda#Irish Albums Chart[195]​#1
Islandia#Tonlist[204]​#6
Italia#Italian Top 100 Albums[188]​#1
Japón#Japan Albums[210]​#14
Japón#Billboard Japan Hot Albums[212]​#43
Lituania#Lithuanian Top 100 Albums[205]​#3
Nigeria#Nigerian Top 100 Albums[351]​#82
Noruega#Norwegian Top 40 Albums[201]​#1
Nueva Zelanda#New Zealand Top 40 Albums[208]​#1
Países Bajos#Dutch Top 100 Albums[197]​#2
Polonia#Polish Albums[352]​#1
Portugal#Portuguese Top 50 Albums[353]​#1
Reino Unido#UK Albums Chart[163]​#1
República Checa#Czech Topp 100 Albums[354]​#1
Suecia#Swedish Top 60 Albums[202]​#2
Suiza#Swiss Hitparade Top 100 Albums[196]​#1
