monumento#departamento#localidad#ubicación#tipo#imagen
Avión DC 3 denominado 5 Tango 22 Cabo de Hornos#Ushuaia#Ushuaia#54°48′57″S 68°18′26″O﻿ / ﻿-54.815790, -68.307357 Aeroclub de Ushuaia#Bien de Interés Histórico#Avión DC 3 denominado 5 Tango 22 Cabo de Hornos
Bahía Aguirre Hasta Cuevas de Gardiner inclusive#Ushuaia#Isla Grande#54°54′40″S 65°59′33″O﻿ / ﻿-54.911111, -65.9925#Lugar Histórico#Bahía Aguirre
Bahía Buen Suceso y tierras hasta el Morro Sur#Ushuaia#Isla Grande#54°47′59″S 65°15′48″O﻿ / ﻿-54.799722, -65.263333#Lugar Histórico#Bahía Buen Suceso y tierras hasta el Morro Sur
Bahía Fox#Islas del Atlántico Sur#Gran Malvina#51°56′50″S 60°04′26″O﻿ / ﻿-51.947122, -60.073957#Lugar Histórico#Bahía Fox
Cabaña refugio de la Isla Cerro Nevado#Antártida Argentina#Isla Cerro Nevado#64°21′31″S 57°01′25″O﻿ / ﻿-64.358485, -57.023506#Monumento Histórico Nacional#Cabaña refugio de la Isla Cerro Nevado
Lugar histórico nacional Caleta Falsa#Ushuaia#Península Mitre#54°37′01″S 65°24′00″O﻿ / ﻿-54.617, -65.4 al pie del monte Bilbao#Lugar Histórico#Lugar histórico nacional Caleta Falsa
Capilla de Nuestra Señora de la Candelaria#Río Grande#Río Grande#53°43′29″S 67°47′54″O﻿ / ﻿-53.724615, -67.798423 Modificado por el Decreto 3111/83#Monumento Histórico Nacional#Capilla de Nuestra Señora de la Candelaria
Cárcel de Reincidentes de Ushuaia#Ushuaia#Ushuaia#54°48′11″S 68°17′50″O﻿ / ﻿-54.803183, -68.297153 Yaganes 300 (Base Naval Ushuaia)#Monumento Histórico Nacional#Cárcel de Reincidentes de Ushuaia
Casa Moneta#Islas del Atlántico Sur#Islas Orcadas del Sur#60°44′25″S 44°44′33″O﻿ / ﻿-60.740278, -44.7425 Base Orcadas, en la Isla Laurie#Lugar Histórico#Casa Moneta
Casa Ramos#Ushuaia#Ushuaia#54°48′25″S 68°18′10″O﻿ / ﻿-54.806813, -68.302712 Av. Maipú 363#Monumento Histórico Nacional#Casa Ramos
Cementerio de la Misión Salesiana#Río Grande#Río Grande#53°43′31″S 67°47′52″O﻿ / ﻿-53.725318, -67.797685 Sección P, Macizo 68, Parc 3a#Monumento Histórico Nacional#Cementerio de la Misión Salesiana
Cementerio de Puerto Darwin#Islas del Atlántico Sur#Isla Soledad#51°47′49″S 58°56′26″O﻿ / ﻿-51.796944, -58.940556 A 88 km de Puerto Argentino#Lugar Histórico#Cementerio de Puerto Darwin
Choza de los Suecos#Antártida Argentina#Base Esperanza#63°24′00″S 56°59′00″O﻿ / ﻿-63.400000, -56.983330#Monumento Histórico Nacional#Choza de los Suecos
None#Islas del Atlántico Sur#Océano Atlántico Sur#55°24′00″S 61°32′00″O﻿ / ﻿-55.400000, -61.533333#Lugar Histórico#Crucero ARA General Belgrano
Lugar histórico nacional El Páramo#Río Grande#Isla Grande#53°04′10″S 68°14′34″O﻿ / ﻿-53.069406, -68.242667 Península del Páramo#Lugar Histórico#Lugar histórico nacional El Páramo
Estancia Harberton Casco principal y edificios accesorios de la estancia#Ushuaia#Isla Grande#None#Monumento Histórico Nacional#Estancia Harberton
