puesto#idioma#hablantes_nativos_(millones)#porcentaje_de_población_mundial#familia_lingüística#rama
1#Chino mandarín#9290#11,922 %#Sino-tibetanas#Siníticas
2#Español#4747#5,994 %#Indoeuropeas#Romances
3#Inglés#3729#4,922 %#Indoeuropeas#Germánicas
4#Hindi#3439#4,429 %#Indoeuropeas#Indoarias
5#Bengalí#2337#4,000 %#Indoeuropeas#Indoarias
6#Portugués#2324#2,870 %#Indoeuropeas#Romances
7#Ruso#1540#2,000 %#Indoeuropeas#Baltoeslavas
8#Japonés#1253#1,662 %#Japónicas#Japonés
9#Lahnda#927#1,204 %#Indoeuropeas#Indoarias
10#Chino yue#852#0,949 %#Sino-tibetanas#Siníticas
11#Vietnamita#846#0,987 %#Austroasiáticas#Viéticas
12#Maratí#831#1,079 %#Indoeuropeas#Indoarias
13#Télugu#820#1,065 %#Drávidas#Sur-central
14#Turco#822#1,031 %#Túrquicas#Túrquicas suroccidentales
15#Chino wu#817#1,057 %#Sino-tibetanas#Siníticas
16#Coreano#817#1,004 %#Coreánicas#Idioma aislado
17#Francés#799#1,003 %#Indoeuropeas#Romances
18#Alemán#756#0,988 %#Indoeuropeas#Germánicas
19#Tamil#750#0,974 %#Drávidas#Drávida meridional
20#Urdu#702#0,891 %#Indoeuropeas#Indoarias
21#Javanés#683#0,887 %#Austronesias#Malayo-polinesias
22#Italiano#648#0,842 %#Indoeuropeas#Romances
23#Árabe egipcio#646#0,839 %#Afroasiáticas#Semíticas
24#Guyaratí#570#0,732 %#Indoeuropeas#Indoarias
25#Persa#564#0,686 %#Indoeuropeas#Iranias
26#Bhoshpuri#522#0,678 %#Indoeuropeas#Indoarias
27#Árabe levantino#51#¿? %#Afroasiáticas#Semíticas
28#Chino min nan#501#0,651 %#Sino-tibetanas#Siníticas
29#Chino hakka#482#0,626 %#Sino-tibetanas#Siníticas
30#Chino jin#469#0,609 %#Sino-tibetanas#Siníticas
31#Hausa#439#0,570 %#Afroasiáticas#Chádicas
32#Canarés#436#0,566 %#Drávidas#Drávidas meridionales
33#Indonesio#436#0,564 %#Austronesias#Malayo-polinesias
34#Yoruba#436#0,491 %#Nigerocongolesas#Volta-Níger
35#Polaco#400#0,516 %#Indoeuropeas#Baltoeslavas
36#Chino xiang#373#0,484 %#Sino-tibetanas#Siníticas
37#Malabar#371#0,482 %#Drávidas#Drávidas meridionales
38#Oriya#345#0,448 %#Indoeuropeas#Indoarias
39#Maithili#339#0,440 %#Indoeuropeas#Indoarias
40#Árabe sudanés#333#0,414 %#Afroasiáticas#Semíticas
41#Birmano#330#0,427 %#Sino-tibetanas#Lolo-búrmicas
42#Panyabí#326#0,423 %#Indoeuropeas#Indoarias
43#Sondanés#324#0,421 %#Austronesias#Malayo-polinesias
44#Árabe argelino#347#0,382 %#Afroasiáticas#Semíticas
45#Árabe marroquí#275#0,357 %#Afroasiáticas#Semíticas
46#Ucraniano#273#0,355 %#Indoeuropeas#Baltoeslavas
47#Igbo#270#0,351 %#Nigerocongolesas#Volta-Níger
