voïvodie_voïvodie_voïvodie#trzaskowski_ko_unnamed:_1_level_1_voix#trzaskowski_ko_unnamed:_2_level_1_%#nawrocki_pis_unnamed:_3_level_1_voix#nawrocki_pis_unnamed:_4_level_1_%
Basse-Silésie#850 305#5581#673 218#4419
Couïavie-Poméranie#539 860#5342#470 660#4658
Lublin#362 053#3346#720 119#6654
Lubusz#281 477#5822#201 982#4178
Łódź#617 350#4680#701 859#5320
Petite-Pologne#791 494#4113#1 132 733#5887
Mazovie#1 602 996#5028#1 585 019#4972
Opole#236 992#5298#210 321#4702
Basses-Carpates#318 485#2898#780 429#7102
Podlachie#225 062#3861#357 847#6139
Poméranie#754 823#5913#521 725#4087
Silésie#1 172 343#5134#1 111 205#4866
Sainte-Croix#229 895#3639#401 863#6361
Varmie-Mazurie#343 483#5171#320 797#4829
Grande-Pologne#1 030 175#5517#837 129#4483
Poméranie-Occidentale#496 666#5803#359 267#4197
Étranger et navires#383 722#6349#220 637#3651
Pologne#10 237 286#4911#10 606 877#5089
