rang#ville#rec._1989#cal._2008#raion
1#Bakou#1 150 000#2 039 700#Bakou
2#Gandja#278 000#320 348#Gandja
3#Sumqayıt#231 000#279 086#Sumqayıt
4#Mingachevir#85 400#99 775#Mingachevir
5#Qaraçuxur#<NA>#77 619#Bakou
6#Şirvan#58 300#75 453#Şirvan
7#Nakhitchevan#60 000#74 203#Nakhitchevan
8#Bakixanov#<NA>#70 923#Bakou
9#Shaki#56 200#65 045#Shaki
10#Ievlakh#45 720#56 726#Ievlakh
11#Stepanakert#56 700#54 982#Xankəndi
12#Lankaran#45 700#50 244#Lankaran
13#Rəsulzadə#<NA>#47 921#Abşeron
14#Biləcəri#<NA>#45 008#Bakou
15#Maştağa#<NA>#42 196#Bakou
16#Ağdam#28 000#41 827#Ağdam
17#Bərdə#30 900#40 122#Bərdə
18#Xaçmaz#29 000#39 744#Xaçmaz
19#Cəlilabad#25 800#39 230#Cəlilabad
20#Hövsan#<NA>#38 257#Bakou
21#Salyan#<NA>#37 959#Salyan
22#Şəmkir#27 900#37 773#Şəmkir
23#Ağcabədi#25 200#37 503#Ağcabədi
24#Göyçay#31 000#36 720#Göyçay
25#Xırdalan#<NA>#36 276#Abşeron
26#İmişli#25 700#33 346#İmişli
27#Lökbatan#<NA>#33 245#Bakou
28#Shamakhi#24 700#30 945#Shamakhi
29#Sabirabad#18 630#29 665#Sabirabad
30#Əmircan#<NA>#28 203#Bakou
31#Fizuli#17 100#26 396#Fizuli
32#Binə#<NA>#26 395#Bakou
33#Buzovna#<NA>#26 283#Bakou
34#Hacıqabul#21 500#24 765#Hacıqabul
35#Ağdaş#19 800#24 760#Ağdaş
36#Siyəzən#18 700#24 379#Siyəzən
37#Quba#20 800#23 541#Quba
38#Dəvəçi#18 600#22 818#Dəvəçi
39#Sahil#<NA>#22 498#Bakou
40#Zabrat#<NA>#22 497#Bakou
41#Sabunçu#<NA>#22 344#Bakou
42#Qazax#19 000#20 590#Qazax
43#Hacı Zeynalabdin#<NA>#20 029#Abşeron
