partis#partis.1#votes#%#+/−#c#l#total
<NA>#SPD#80 604#2315.0#832#1[n 8]#0.0#1.0
<NA>#CDU#71 573#2055.0#333#0#1.0#1.0
<NA>#Grünen#54 280#1559.0#527#0#1.0#1.0
<NA>#AfD#52 496#1507.0#819#0#1.0#1.0
<NA>#Linke#51 461#1478.0#705#0#1.0#1.0
<NA>#BSW#15 114#434.0#Nv.#0#0.0#0.0
<NA>#FDP#12 295#353.0#576#0#0.0#0.0
<NA>#Volt#3 836#110.0#070#0#0.0#0.0
<NA>#Autres#6 597#189.0#<NA>#0#0.0#0.0
Votes valides#Votes valides#348 256#9940.0#<NA>#<NA>#<NA>#<NA>
Votes invalides#Votes invalides#2 110#60.0#<NA>#<NA>#<NA>#<NA>
Total#Total#350 366#100.0#<NA>#1#4.0#5.0
Abstentions#Abstentions#100 198#2224.0#<NA>#<NA>#<NA>#<NA>
Inscrits/Part.#Inscrits/Part.#450 564#7776.0#<NA>#<NA>#<NA>#<NA>
