député#circonscription#province/territoire#parti
Seamus O'Regan#St. John's-Sud—Mount Pearl#Terre-Neuve-et-Labrador#Libéral
Ken McDonald#Avalon#Terre-Neuve-et-Labrador#Libéral
Churence Rogers#Bonavista-Burin-Trinity#Terre-Neuve-et-Labrador#Libéral
Gudie Hutchings#Long Range Mountains#Terre-Neuve-et-Labrador#Libéral
Yvonne Jones#Labrador#Terre-Neuve-et-Labrador#Libéral
Michael McLeod#Territoires du Nord-Ouest#Territoires du Nord-Ouest#Libéral
Carla Qualtrough#Delta#Colombie-Britannique#Libéral
Ken Hardie#Fleetwood—Port Kells#Colombie-Britannique#Libéral
Joyce Murray#Vancouver Quadra#Colombie-Britannique#Libéral
Harjit Sajjan#Vancouver-Sud#Colombie-Britannique#Libéral
Ed Fast#Abbotsford#Colombie-Britannique#Conservateur
Richard Cannings#Okanagan-Sud—Kootenay-Ouest#Colombie-Britannique#Néodémocrate
Rachel Blaney#North Island—Powell River#Colombie-Britannique#Néodémocrate
Lawrence MacAulay#Cardigan#Île-du-Prince-Édouard#Libéral
Dan Vandal#Saint-Boniface—Saint-Vital#Manitoba#Libéral
Larry Maguire#Brandon—Souris#Manitoba#Conservateur
René Arseneault#Madawaska—Restigouche#Nouveau-Brunswick#Libéral
Jenica Atwin#Fredericton#Nouveau-Brunswick#Libéral
Jake Stewart#Miramichi—Grand Lake#Nouveau-Brunswick#Conservateur
Darrell Samson#Sackville—Preston—Chezzetcook#Nouvelle-Écosse#Libéral
Marie-Claude Bibeau#Compton—Stanstead#Québec#Libéral
Pascale St-Onge[41],#Brome—Missisquoi#Québec#Libéral
Yves Robillard#Marc-Aurèle-Fortin#Québec#Libéral
Brenda Shanahan#Châteauguay—Lacolle#Québec#Libéral
Emmanuel Dubourg#Bourassa#Québec#Libéral
Soraya Martinez Ferrada#Hochelaga#Québec#Libéral
Justin Trudeau#Papineau#Québec#Libéral
Richard Lehoux#Beauce#Québec#Conservateur
Alain Rayes#Richmond—Arthabaska#Québec#Indépendant
Kristina Michaud#Avignon—La Mitis—Matane—Matapédia#Québec#Bloc québécois
Monique Pauzé#Repentigny#Québec#Bloc québécois
Louise Chabot#Thérèse-De Blainville#Québec#Bloc québécois
Stéphane Bergeron#Montarville#Québec#Bloc québécois
Filomena Tassi#Hamilton-Ouest—Ancaster—Dundas#Ontario#Libéral
Antony Rota#Nipissing—Timiskaming#Ontario#Libéral
Lloyd Longfield#Guelph#Ontario#Libéral
Omar Alghabra#Mississauga-Centre#Ontario#Libéral
Tony Van Bynen#Newmarket—Aurora#Ontario#Libéral
Pam Damoff#Oakville-Nord—Burlington#Ontario#Libéral
John McKay#Scarborough—Guildwood#Ontario#Libéral
Francis Drouin#Glengarry—Prescott—Russell#Ontario#Libéral
Arif Virani#Parkdale—High Park#Ontario#Libéral
Mary Ng#Markham—Thornhill#Ontario#Libéral
Jennifer O'Connell#Pickering—Uxbridge#Ontario#Libéral
Marci Ien#Toronto-Centre#Ontario#Libéral
Mark Holland#Ajax#Ontario#Libéral
Kirsty Duncan#Etobicoke-Nord#Ontario#Libéral
