rang#pays_ou_territoire#pib_par_habitant_(en_dollars)
1#Luxembourg#135 050
2#Irlande#102 390
3#Suisse#93 515
4#Norvège#82 244
5#États-Unis#69 375
6#Islande#68 843
7#Danemark#67 919
8#Singapour#66 263
9#Australie#62 618
10#Qatar#61 790
11#Suède#58 639
12#Pays-Bas#57 714
13#Autriche#53 793
14#Finlande#54 522
15#Canada#52 791
16#Saint-Marin#50 934
17#Allemagne#50 787
18#Belgique#50 412
19#Israël#49 840
20#Hong Kong#49 485
21#Nouvelle-Zélande#48 348
22#Royaume-Uni#46 200
23#France#45 028
24#Émirats arabes unis#43 537
25#Macao#42 106
26#Japon#40 704
27#Italie#35 584
28#Corée du Sud#35 195
29#Porto Rico#34 143
30#Brunei#33 979
31#Taïwan#33 401
32#Malte#31 996
33#Espagne#30 536
34#Bahamas#34 003
35#Koweït#30 839
36#Chypre#28 340
37#Slovénie#26 234
38#Bahreïn#25 851
39#Aruba#25 466
40#Arabie saoudite#23 566
41#Portugal#23 186
42#Estonie#22 990
43#République tchèque#22 850
44#Grèce#20 408
45#Slovaquie#19 582
46#Oman#19 302
47#Lituanie#19 143
48#Saint-Christophe-et-Niévès#18 203
49#Lettonie#18 032
50#Barbade#17 961
