rang(2023)#nom_en_français#gouvernorat#1996#2006#2017#2023_(estimationofficielle)
1#Le Caire#Le Caire#6 789 479#7 740 018#9 539 673#9 801 536
2#Alexandrie#Alexandrie#3 328 196#4 028 028#5 107 530#5 362 517
3#Gizeh#Gizeh#2 521 197#3 021 542#4 212 750#4 458 135
4#Shubra El-Kheima#Qalyubiya#870 775#1 025 569#1 161 514#1 275 700
5#Port-Saïd#Port-Saïd#472 331#570 603#749 371#791 749
6#Suez#Suez#414 799#508 578#728 180#716 458
7#Mansourah#Dakhleya#369 409#439 348#543 581#632 330
8#El-Mahalla el-Koubra#Gharbeya#394 924#442 958#518 798#614 202
9#Tanta#Gharbeya#372 892#422 854#504 855#597 694
10#Assiout#Assiout#343 662#389 307#458 468#562 061
11#El-Fayoum#Fayoum#260 830#315 940#405 541#531 861
12#Khusus#Qalyubiya#146 586#291242#457 852#502 864
13#Zagazig#Charqiya#267 469#302 840#380 980#460 501
14#Ismaïlia#Ismaïlia#255 134#293 184#384 351#450 388
15#Assouan#Assouan#219 541#266 013#319 855#401 890
16#Ville du 6 octobre#Gizeh#35 354#154 093#348 870#376 302
17#Damanhur#Beheira#209 423#244 043#259 213#329 572
18#Damiette#Damiette#78 262#206 664#281 493#312 863
19#Al-Minya#Minya#201 440#236 043#244 101#298 021
20#Beni Suef#Beni Suef#171 734#193 048#233 808#294 125
21#Louxor#Louxor#133 498#174 672#242 375#284 952
22#Sohag#Sohag#170 417#190 132#239 988#278 425
23#Shibin El Kom#Menufeya#156 794#177 112#239 624#277 991
24#Qena#Qena#155 382#201 191#235 647#264 498
25#Ville du 10 de Ramadan#Charqiya#47 833#125 920#217 884#263 321
26#Mallawi#Minya#116 757#129 431#183 018#223 435
27#Hurghada#Mer-Rouge#60 085#160 901#190 632#214 247
28#El-Arich#Sinaï Nord#100 482#137 944#192 472#204 391
29#Al hawamideya#Gizeh#91 770#109 314#190 847#202 401
30#Kafr el-Cheik#Kafr el-Cheik#124 870#147 393#176 883#198 197
31#Bilbéis#Charqiya#114 343#137 182#163 957#198 167
32#Marsa Matruh#Marsa-Matruh#52 317#109 852#143 524#193 293
33#Banha#Qalyubiya#135 892#157 701#170 656#187 469
34#Idku#Beheira#87 848#97 168#144 310#183 479
35#Tahta#Sohag#97 526#111 867#164 060#183 404
36#Abu kabir#Charqiya#85 339#103 175#136 725#165 246
37#Matarée#Dakhleya#87 062#100 566#141 639#164 743
38#Qalyub#Qalyubiya#77 081#107 303#146 430#160 831
39#Akhmîm#Sohag#84 773#101 509#136 146#157 938
40#Girga#Sohag#89 679#102 597#135 989#157 754
41#Mit Ghamr#Dakhleya#101 899#116 593#134 386#156 319
42#Dessouk#Kafr el-Cheik#91 318#106 827#135 725#152 077
43#Samalut#Minya#75 437#91 475#122 232#149 227
