nom#nom_suédois#localisation#date
Château d'Åkeshov#Åkeshovs slott#Stockholm#1650
Château de Bogesund#Bogesunds slott#Vaxholm#1640
Château de Djursholm#Djursholms slott#Djursholm#<NA>
Château de Drottningholm#Drottningholms slott#Ekerö#1662
Château d'Edsberg#Edsbergs slott#Sollentuna#1630
Château d'Ekebyholm#Ekebyholms slott#Norrtälje#XVIIe siècle
Château d'Ekebyhov#Ekebyhovs slott#Ekerö#XVIIe siècle
Château d'Ekholmen#Ekholmens slott#Enköping#1746
Château d'Ekolsund#Ekolsunds slott#Enköping#XVIIe siècle
Château de Granhammar#Granhammars slott#Upplands-Bro#1750
Château de Grönsö#Grönsö slott#Enköping#1611
Pavillon de Gustave III#Gustav III:s paviljong#Solna#1792
Château de Görväln#Görvälns slott#Järfälla#<NA>
Château de Haga#Haga slott#Solna#1805
Château de Haga (Enköping)#Haga slott#Enköping#1670
Château de Hässelby#Hässelby slott#Stockholm#1660
Château de Karlberg#Karlbergs slott#Solna#1634
Pavillon chinois de Drottningholm#Kina slott#Ekerö#1769
Château de Kristineberg#Kristinebergs slott#Stockholm#1750
Château de Noor#Noors slott#Knivsta#<NA>
Château de Näsby#Näsby slott#Täby#<NA>
Château d'Örbyhus#Örbyhus slott#Tierp#<NA>
Château d'Östanå#Östanå slott#Tierp#1794
Château de Penningby#Penningby slott#Norrtälje#XVe siècle
Château de Rosendal#Rosendals slott#Stockholm#1826
Château de Rosersberg#Rosersbergs slott#Sigtuna#<NA>
Château de Rydboholm#Rydboholms slott#Österåker#XVIe siècle
Château de Rånä#Rånäs slott#Norrtälje#1844
Château de Rörstrand#Rörstrands slott#Stockholm#1635
Château de Salnecke#Salnecke slott#Enköping#1640
Château de Salsta#Salsta slott#Uppsala#1678
Château de Sjö#Sjö slott#Enköping#<NA>
Château de Skokloster#Skoklosters slott#Håbo#1676
Château de Skånelaholm#Skånelaholms slott#Sigtuna#1640
Château de Steninge#Steninge slott#Sigtuna#XVIIe siècle
Palais royal de Stockholm#Stockholms slott#Stockholm#1697
Château de Stora Väsby#Stora Väsby slott#Upplands Väsby#1760
Château de Svartsjö#Svartsjö slott#Upplands Väsby#1739
Château d'Ulvsunda#Ulvsunda slott#Stockholm#1647
Château d'Uppsala#Uppsala slott#Uppsala#1549
Utö hus#Utö hus#Uppsala#XVe siècle
Château de Venngarn#Venngarns slott#Sigtuna#1670
Château de Wik#Wiks slott#Uppsala#1450
