parti#parti.1#candidat#votes#%
<NA>#Conservateur#Jamil JivaniS#35 232#4977.0
<NA>#Libéral#Bridget Girard#32 214#4551.0
<NA>#NPD#Elenor Marano#2 032#287.0
<NA>#Vert#Julie Dietrich#546#77.0
<NA>#Indépendant#Pranay Gunti#264#37.0
<NA>#Héritage chrétien#Thomas Zekveld#155#22.0
<NA>#Parti uni#Clint Cole#143#20.0
<NA>#Centriste#Ghuzna Imam#134#19.0
<NA>#Rhinocéros#Adam Smith#68#10.0
Votes valides#Votes valides#Votes valides#70 788#9930.0
Bulletins nuls#Bulletins nuls#Bulletins nuls#500#70.0
Total#Total#Total#71 288#100.0
Abstention#Abstention#Abstention#30 300#2983.0
Inscrits/Participation#Inscrits/Participation#Inscrits/Participation#101 588#7017.0
