date#no.#heure#nom_de_la_spéciale#distance#vainqueur_e.s.#temps#leader_au_général
13 Février#NC#Après 9:01#Umeå City (Shakedown)#3.44 km#Thierry Neuville#2:06.5#--
13 Février#<NA>#Après 18:40#Cérémonie d'ouverture, Red Barn Arena#Cérémonie d'ouverture, Red Barn Arena#Cérémonie d'ouverture, Red Barn Arena#Cérémonie d'ouverture, Red Barn Arena#--
13 Février#ES1#Après 19:05#Umeå Sprint 1#5.16 km#Elfyn Evans#3:21.6#Elfyn Evans
14 Février#SS2#Après 9:18#Bygdsiljum 1#28.27 km#Elfyn Evans#13:58.8#Elfyn Evans
14 Février#SS3#Après 10:19#Andersvattnet 1#20.51 km#Adrien Fourmaux#10:43.8#Elfyn Evans
14 Février#SS4#Après 11:27#Bäck 1#10.80 km#Adrien Fourmaux#5:54.6#Elfyn Evans
14 Février#<NA>#12:35 – 12:55#Regroupement, Red Barn#Regroupement, Red Barn#Regroupement, Red Barn#Regroupement, Red Barn#Elfyn Evans
14 Février#<NA>#12:55 – 13:35#Service A, Umeå#Service A, Umeå#Service A, Umeå#Service A, Umeå#Elfyn Evans
14 Février#SS5#Après 14:48#Bygdsiljum 2#28.27 km#Takamoto Katsuta#13:50.1#Takamoto Katsuta
14 Février#SS6#Après 15:49#Andersvattnet 2#20.51 km#Ott Tänak#10:49.2#Elfyn Evans
14 Février#SS7#Après 16:57#Bäck 2#10.80 km#Thierry Neuville#6:02.5#Ott Tänak
14 Février#<NA>#18:00 – 18:40#Regroup, Red Barn#Regroup, Red Barn#Regroup, Red Barn#Regroup, Red Barn#Ott Tänak
14 Février#SS8#Après19:05#Umeå Sprint 2#5.16 km#Elfyn Evans#3:29.9#Elfyn Evans
14 Février#<NA>#19:45 – 20:30#Flexi service B, Umeå#Flexi service B, Umeå#Flexi service B, Umeå#Flexi service B, Umeå#Elfyn Evans
15 Février#SS9#Après 9:10#Vännäs 1#15.65 km#Kalle Rovanperä#9:00.5#Elfyn Evans
15 Février#SS10#Après 10:05#Sarsjöliden 1#14.23 km#Elfyn Evans#6:37.5#Elfyn Evans
15 Février#SS11#Après 11:08#Kolksele 1#16.06 km#Thierry Neuville#8:06.5#Elfyn Evans
15 Février#<NA>#12:07 – 12:45#Regroup, Red Barn#Regroup, Red Barn#Regroup, Red Barn#Regroup, Red Barn#Elfyn Evans
15 Février#<NA>#12:45 – 13:25#Service C, Umeå#Service C, Umeå#Service C, Umeå#Service C, Umeå#Elfyn Evans
15 Février#SS12#Après 14:10#Vännäs 2#15.65 km#Adrien Fourmaux#8:59.1#Elfyn Evans
15 Février#SS13#Après 15:05#Sarsjöliden 2#14.23 km#Elfyn Evans#6:42.4#Elfyn Evans
15 Février#SS14#Après 16:08#Kolksele 2#16.06 km#Thierry Neuville#8:14.9#Elfyn Evans
15 Février#<NA>#18:15 – 18:40#Regroup, Red Barn#Regroup, Red Barn#Regroup, Red Barn#Regroup, Red Barn#Elfyn Evans
15 Février#SS15#Après 18:05#Umeå 1#10.08 km#Thierry Neuville#3:29.5#Elfyn Evans
15 Février#<NA>#18:52 – 19:37#Flexi service D, Umeå#Flexi service D, Umeå#Flexi service D, Umeå#Flexi service D, Umeå#Elfyn Evans
16 Février#SS16#Après 7:27#Västervik 1#29.35 km#Takamoto Katsuta#14:15.3#Takamoto Katsuta
