candidat#voix#résultat
Simon Glass#96.0#élu
Ian Lavarello#92.0#réélu
Larry Swain#85.0#élu
Iris Green#78.0#élue
Rodney Green#74.0#réélu
Steve Swain#71.0#réélu
Lorraine Repetto#69.0#élue
Randall Repetto#66.0#élu
James Glass#55.0#<NA>
Vera Glass#48.0#<NA>
Warren Glass#44.0#<NA>
Lynette Green#39.0#<NA>
Rhyanna Swain#37.0#<NA>
Leon Glass#24.0#<NA>
Beverley Swain#23.0#<NA>
Conrad Glass#22.0#<NA>
Conchita Repetto#22.0#<NA>
Total des voix#962.0#<NA>
Votes valides#162.0#9759
Votes blancs et nuls#4.0#241
Total#166.0#100
Abstention#34.0#1700
Inscrits / participation#200.0#8600
