groupe#candidate#âge#résidence#saison_originale#classement_original#classement_final
3#Ginger Minj#40#Orlando, Floride#Saison 7[a]#Seconde#Gagnante
2#Jorgeous#25#Los Angeles, Californie#Saison 14[b]#6e/7e place#Seconde
1#Aja#31#New York, État de New York#Saison 9[c]#9e place#3e place 4e place 5e place 6e place 7e place 8e place
1#Bosco#31#Seattle, Washington#Saison 14#3e/4e/5e place#3e place 4e place 5e place 6e place 7e place 8e place
3#Daya Betty#29#Chicago, Illinois#Saison 14#3e/4e/5e place#3e place 4e place 5e place 6e place 7e place 8e place
1#Irene The Alien#31#Seattle, Washington#Saison 15#16e place#3e place 4e place 5e place 6e place 7e place 8e place
2#Lydia B Kollins#23#Pittsburgh, Pennsylvanie#Saison 17#7e place#3e place 4e place 5e place 6e place 7e place 8e place
2#Kerri Colby#28#Los Angeles, Californie#Saison 14#9e place#3e place 4e place 5e place 6e place 7e place 8e place
2#Mistress Isabelle Brooks#26#Houston, Texas#Saison 15#3e/4e place#9e place
3#Cynthia Lee Fontaine#44#Austin, Texas#Saison 8[d]#10e place#10e place
3#Acid Betty#47#New York, État de New York#Saison 8#8e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
3#Alyssa Hunter#30#Cataño, Porto Rico#Saison 14#13e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
1#DeJa Skye#35#Las Vegas, Nevada#Saison 14#6e/7e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
3#Denali#33#Chicago, Illinois#Saison 13#8e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
2#Nicole Paige Brooks#51#Atlanta, Géorgie#Saison 2#11e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
1#Olivia Lux#31#New York, État de New York#Saison 13#5e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
1#Phoenix#44#Atlanta, Géorgie#Saison 3#12e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
2#Tina Burner#44#New York, État de New York#Saison 13#7e place#11e place 12e place 13e place 14e place 15e place 16e place 17e place 18e place
