nom#parti.1#circonscription
Jennifer McKelvie#Libéral#Ajax
Cheryl Gallant#Conservateur#Algonquin—Renfrew—Pembroke
Costas Menegakis#Conservateur#Aurora—Oak Ridges—Richmond Hill
Chris Malette#Libéral#Baie de Quinte
Doug Shipley#Conservateur#Barrie—Springwater—Oro-Medonte
John Brassard#Conservateur#Barrie-Sud—Innisfil
Nate Erskine-Smith#Libéral#Beaches—East York
Jamil Jivani#Conservateur#Bowmanville—Oshawa-Nord
Amandeep Sodhi#Libéral#Brampton-Centre
Shafqat Ali#Libéral#Brampton—Chinguacousy Park
Maninder Sidhu#Libéral#Brampton-Est
Ruby Sahota#Libéral#Brampton-Nord—Caledon
Amarjeet Gill#Conservateur#Brampton-Ouest
Sonia Sidhu#Libéral#Brampton-Sud
Larry Brock#Conservateur#Brantford—Brant-Sud—Six Nations
Alex Ruff#Conservateur#Bruce—Grey—Owen Sound
Karina Gould#Libéral#Burlington
Adam Van Koeverden#Libéral#Burlington-Nord—Milton-Ouest
Connie Cody#Conservateur#Cambridge
Bruce Fanjoy#Libéral#Carleton
Dave Epp#Conservateur#Chatham-Kent—Leamington
Julie Dzerowicz#Libéral#Davenport
Maggie Chi#Libéral#Don Valley-Nord
Rob Oliphant#Libéral#Don Valley-Ouest
Kyle Seeback#Conservateur#Dufferin—Caledon
Vince Gasparro#Libéral#Eglinton—Lawrence
Andrew Lawton#Conservateur#Elgin—St. Thomas—London-Sud
Chris Lewis#Conservateur#Essex
Yvan Baker#Libéral#Etobicoke-Centre
James Maloney#Libéral#Etobicoke—Lakeshore
John Zerucelli#Libéral#Etobicoke-Nord
Dan Muys#Conservateur#Flamborough—Glanbrook—Brant-Nord
Dominique O'Rourke#Libéral#Guelph
Leslyn Lewis#Conservateur#Haldimand—Norfolk
Jamie Schmale#Conservateur#Haliburton—Kawartha Lakes
Aslam Rana#Libéral#Hamilton-Centre
Ned Kuruc#Conservateur#Hamilton-Est—Stoney Creek
Lisa Hepfner#Libéral#Hamilton Mountain
John-Paul Danko#Libéral#Hamilton-Ouest—Ancaster—Dundas
Shelby Kramp-Neuman#Conservateur#Hastings—Lennox and Addington—Tyendinaga
Judy Sgro#Libéral#Humber River—Black Creek
Ben Lobb#Conservateur#Huron—Bruce
Jenna Sudds#Libéral#Kanata
Gaétan Malette#Conservateur#Kapuskasing—Timmins—Mushkegowuk
Eric Melillo#Conservateur#Kenora—Kiiwetinoong
Mark Gerretsen#Libéral#Kingston et les Îles
Anna Roberts#Conservateur#King—Vaughan
Kelly DeRidder#Conservateur#Kitchener-Centre
Tim Louis#Libéral#Kitchener—Conestoga
Matt Strauss#Conservateur#Kitchener-Sud—Hespeler
