nom#type#comté#population(2010)#superficie_(2010)#annéed'incorporation
Apache Junction#City#Pinal et Maricopa#35 840#35 milles carrés / 90,65 km2#1978
Avondale#City#Maricopa#76 238#45,65 milles carrés / 118,23 km2#1946
Benson#City#Cochise#5 105#41,46 milles carrés / 107,38 km2#1924
Bisbee#City#Cochise#5 575#5,16 milles carrés / 13,36 km2#1902
Buckeye#City#Maricopa#50 876#375,39 milles carrés / 972,26 km2#1929
Bullhead City#City#Mohave#39 540#60,18 milles carrés / 155,87 km2#1984
Camp Verde#Town#Yavapai#10 873#43,15 milles carrés / 111,76 km2#1986
Carefree#Town#Maricopa#3 363#8,81 milles carrés / 22,82 km2#1984
Casa Grande#City#Pinal#48 571#109,67 milles carrés / 284,04 km2#1915
Cave Creek#Town#Maricopa#5 015#37,92 milles carrés / 98,21 km2#1986
Chandler#City#Maricopa#236 123#64,52 milles carrés / 167,11 km2#1920
Chino Valley#Town#Yavapai#10 817#63,43 milles carrés / 164,28 km2#1970
Clarkdale#Town#Yavapai#4 097#10,57 milles carrés / 27,38 km2#1957
Clifton#Town#Greenlee#3 311#15 milles carrés / 38,85 km2#1909
Colorado City#Town#Mohave#4 821#10,34 milles carrés / 26,78 km2#1985
Coolidge#City#Pinal#11 825#56,58 milles carrés / 146,54 km2#1945
Cottonwood#Town#Yavapai#11 265#16,41 milles carrés / 42,5 km2#1960
Dewey-Humboldt#Town#Yavapai#3 894#18,59 milles carrés / 48,15 km2#2004
Douglas#City#Cochise#17 378#9,98 milles carrés / 25,85 km2#1905
Duncan#Town#Greenlee#696#2,16 milles carrés / 5,59 km2#1938
Eagar#Town#Apache#4 885#11,24 milles carrés / 29,11 km2#1948
El Mirage#City#Maricopa#31 797#10,09 milles carrés / 26,13 km2#1951
Eloy#City#Pinal#16 631#111,57 milles carrés / 288,96 km2#1949
Flagstaff#City#Coconino#65 870#63,91 milles carrés / 165,53 km2#1894
Florence#Town#Pinal#25 536#52,49 milles carrés / 135,95 km2#1908
Fountain Hills#Town#Maricopa#22 489#20,42 milles carrés / 52,89 km2#1989
Fredonia#Town#Coconino#1 314#7,32 milles carrés / 18,96 km2#1956
Gila Bend#Town#Maricopa#1 922#55,37 milles carrés / 143,41 km2#1962
Gilbert#Town#Maricopa#208 453#68,15 milles carrés / 176,51 km2#1920
Glendale#City#Maricopa#226 721#60,13 milles carrés / 155,74 km2#1910
Globe#City#Gila#7 532#18,20 milles carrés / 47,14 km2#1907
Goodyear#City#Maricopa#65 275#191,52 milles carrés / 496,03 km2#1946
Guadalupe#Town#Maricopa#5 523#0,81 milles carrés / 2,1 km2#1975
Hayden#Town#Gila et Pinal#662#1,27 milles carrés / 3,29 km2#1956
Holbrook#City#Navajo#5 053#17,37 milles carrés / 44,99 km2#1917
Huachuca City#Town#Cochise#1 853#2,81 milles carrés / 7,28 km2#1958
Jerome#Town#Yavapai#444#0,86 milles carrés / 2,23 km2#1889
