pays#1995#1999#2000#2001#2002#2003#2004#effectif_2004
États-Unis#081#093#09,3#09,5#09,6#nr#nr#1 334 628
Japon#10,1#099#097#102#09,9#104#104#677 206
Chine#00,8#00,7#01#01#011#012#01,2#926 252
Allemagne#061#066#06,6#067#06,8#069#nr#268 942
France#067#068#07,1#072#075#077#nr#192 790
Royaume-Uni#053#nr#nr#nr#nr#nr#nr#157 662
Corée#04,9#04,9#05,1#06,3#06,4#06,8#06,9#156 220
Canada#064#067#071#07,5[9],#07,2[9],#nr#nr#112 624[9],
Italie#035#029#029#029#03#029#nr#70 332
Fédération de Russie#092#078#078#079#075#074#071#477 647
Taïwan#nr#05,8[15],#05,8[15],#06,4[15],#06,8[7],#07,1#07,4#72 720
Espagne#035#039#047#047#048#052#055#100 994
Suède#082#096#nr#106#nr#11#nr#47 836
UE-25#04,9#05,3#05,4#05,6#05,7#05,9#nr#1 178 116
Total OCDE#05,8[7],#06,5#06,6#06,8#06,9#nr#nr#3 559 133
