land#man#vrouw#groep
Australië#Dean Hewitt#Tahli Gill#B
Canada#Brett Gallant#Jocelyn Peterman#A
China#Wang Zhiyu#Han Yu#A
Denemarken#Henrik Holtermann#Jasmin Holtermann#A
Duitsland#Joshua Sutor#Pia-Lisa Schöll#A
Estland#Harri Lill#Marie Kaldvee#B
Finland#Markus Sipilä#Lotta Immonen#A
Italië#Amos Mosaner#Stefania Constantini#A
Japan#Yasumasa Tanida#Chiaki Matsumura#B
Nederland#Wouter Gösgens#Lisenka Bomas#A
Nieuw-Zeeland#Ben Smith#Jessica Smith#B
Noorwegen#Magnus Nedregotten#Kristin Skaslien#B
Schotland#Bruce Mouat#Jennifer Dodds#A
Spanje#Mikel Unanue#Oihane Otaegi#B
Tsjechië#Vit Chabičovský#Julie Zelingrová#B
Turkije#Bilal Ömer Çakır#Dilșat Yıldız#B
Verenigde Staten#Korey Dropkin#Cory Thiesse#B
Zuid-Korea#Seong Ji-hoon#Kim Kyeong-ae#A
Zweden#Oskar Eriksson#Anna Hasselborg#A
Zwitserland#Sven Michel#Alina Pätz#B
