nr.#atleet#60 m h#hoog#kogel#ver#800 m#punten
<NA>#Saga Vanninen  Finland#8,19 PR 1086#1,81 PR 991#15,56 898#6,52 PR 1014#2.12,20 933#4922 NR
<NA>#Sofie Dokter  Nederland#8,26 PR 1070#1,84 1029#13,86 785#6,61 PR 1043#2.14,53 899#4826 PR
<NA>#Kate O’Connor  Ierland#8,31 PR 1059#1,84 PR 1029#14,32 815#6,27 PR 934#2.11,42 PR 944#4781 NR
4.0#Jade O’Dowda  Verenigd Koninkrijk#8,30 PR 1061#1,87 PR 1067#13,46 PR 758#6,43 985#2.15,91 880#4751 PR
5.0#Paulina Ligarska  Polen#8,56 1004#1,75 916#14,48 826#6,15 PR 896#2.12,59 927#4569
6.0#Sandrina Sprengel  Duitsland#8,50 1017#1,69 842#14,22 PR 809#6,27 934#2.17,83 PR 853#4455 =PR
7.0#Beatričė Juškevičiūtė  Litouwen#8,18 1088#1,69 842#13,98 793#5,88 813#2.16,10 PRi 877#4413 PR
8.0#Emma Oosterwegel  Nederland#8,27 PR 1068#1,72 879#13,22 742#5,86 807#2.14,24 PRi 904#4400 PR
9.0#Célia Perron  Frankrijk#8,46 1026#1,78 953#12,20 674#5,78 783#2.12,65 926#4362
10.0#Lovisa Karlsson  Zweden#8,20 1084#1,66 806#12,78 713#6,23 921#2.19,29 833#4357
11.0#Yuliia Loban  Oekraïne#8,48 1021#1,66 806#14,98 860#5,86 807#2.23,00 783#4277
12.0#Marijke Esselink  Nederland#8,42 1035#1,69 842#13,46 758#5,68 753#2.22,28 793#4181
13.0#Sveva Gerevini  Italië#8,26 PR 1070#1,72 879#13,00 PR 727#6,20 912#2.14,58 899#4487
14.0#Verena Mayr  Oostenrijk#8,66 982#1,72 879#13,80 781#5,70 759#DNS#DNF (3401)
