plaats#naam#ploeg#tijd
<NA>#Lewis Bower#Cont. Groupama-FDJ#4u19'01"
2.0#Matthew Fox#Rouen 76#z.t.
3.0#Sebastian Putz#Red Bull-BORA-hansgrohe Rookies#z.t.
4.0#Milan De Ceuster#Lotto Dev.#z.t.
5.0#Davide Donati#Red Bull-BORA-hansgrohe Rookies#z.t.
6.0#Erazem Valjavec#Soudal Quick-Step Dev.#z.t.
7.0#Halvor Dolven#Wanty-Nippo-ReUz#z.t.
8.0#Bastien Pichon#Lockimmo.com#z.t.
9.0#Mathieu Kockelmann#Lotto Dev.#z.t.
10.0#Victor Vidal#Étupes#z.t.
11.0#Kévin Avoine#Van Rysel Roubaix#z.t.
12.0#Shunshuke Imamura#Wanty-Nippo-ReUz#z.t.
13.0#Theodor Clemmensen#Red Bull-BORA-hansgrohe Rookies#z.t.
14.0#Hugo Théot#Paris Cycliste Olympique#z.t.
15.0#Arne De Maere#Mini Discar#z.t.
16.0#Maxime Jarnet#Van Rysel Roubaix#z.t.
17.0#Arne Baers#Lotto Dev.#+ 4"
18.0#Clément Petit#Rouen 76#+ 22"
19.0#Kenny Molly#Van Rysel Roubaix#+ 40"
20.0#Simon Baran#Villefrance Beaujolais#+ 1'48"
23.0#Keije Solen#Wanty-Nippo-ReUz#z.t.
