место_место#фигурист_фигурист#страна_страна#сумма_баллов[4]_сумма_баллов#кп[5]_место#кп[5]_баллы#пп[6]_место#пп[6]_баллы
<NA>#Илья Малинин#США#31856#<NA>#11041#<NA>#20815
<NA>#Михаил Шайдоров#Казахстан#28747#<NA>#9477#<NA>#19270
<NA>#Юма Кагияма#Япония#27819#<NA>#10709#10#17110
4#Адам Сяо Хим Фа#Франция#27548#9#8722#<NA>#18826
5#Кевин Эймоз#Франция#27252#4#9363#7#17889
6#Сюн Сато#Япония#27056#5#9126#6#17930
7#Чха Джунхван#Республика Корея#26574#10#8641#5#17933
8#Джейсон Браун#США#26540#12#8472#4#18068
9#Ника Эгадзе#Грузия#26303#6#9039#8#17264
10#Николай Мемола#Италия#25513#7#8789#11#16724
11#Денис Васильев#Латвия#25226#16#7999#9#17227
12#Лукас Бричги#Швейцария#24419#11#8583#14#15836
13#Даниэль Грассль#Италия#24231#14#8047#12#16184
14#Роман Садовский#Канада#24038#15#8025#13#16013
15#Владимир Литвинцев#Азербайджан#23331#13#8310#17#15021
16#Адам Гагара#Словакия#23262#18#7833#15#15429
17#Андреас Нордебекк#Швеция#22985#17#7903#16#15082
18#Дай Дайвэй#Китай#22120#21#7502#18#14618
19#Михаил Селевко#Эстония#21802#19#7750#21#14052
20#Томас-Льоренс Гуарино Сабате#Испания#21748#22#7489#20#14259
21#Тацуя Цубои#Япония#21626#24#7300#19#14326
22#Эндрю Торгашев#США#21279#8#8727#23#12552
23#Владимир Самойлов#Польша#21168#20#7573#22#13595
24#Фёдор Кулиш#Латвия#19833#23#7325#24#12508
Не отобрались в произвольную программу#Не отобрались в произвольную программу#Не отобрались в произвольную программу#Не отобрались в произвольную программу#Не отобрались в произвольную программу#Не отобрались в произвольную программу#Не отобрались в произвольную программу#Не отобрались в произвольную программу
25#Лев Винокур#Израиль#7284#25#7284#н/д#н/д
26#Ким Хёнгём#Республика Корея#7282#26#7282#н/д#н/д
27#Донован Каррильо#Мексика#7155#27#7155#н/д#н/д
28#Никита Старостин#Германия#7072#28#7072#н/д#н/д
29#Александр Власенко#Венгрия#7025#29#7025#н/д#н/д
30#Ли Юйсян#Китайский Тайбэй#6963#30#6963#н/д#н/д
31#Георгий Рештенко#Чехия#6861#31#6861#н/д#н/д
32#Эдвард Эпплби#Великобритания#6670#32#6670#н/д#н/д
33#Кирилл Марсак#Украина#6437#33#6437#н/д#н/д
34#Яри Кесслер#Хорватия#6144#34#6144#н/д#н/д
35#Маурицио Дзандрон#Австрия#6087#35#6087#н/д#н/д
36#Александр Златков#Болгария#5528#36#5528#н/д#н/д
37#Семён Данильянц#Армения#5058#37#5058#н/д#н/д
38#Бурак Демирбога#Турция#4845#38#4845#н/д#н/д
39#Давиде Льютон Брейн#Монако#4790#39#4790#н/д#н/д
