персонаж#этерна:_часть_первая_(2022)#основной_сериал_(2025)
Рокэ Алва#Юрий Чурсин#Юрий Чурсин
герцог Эгмонт Окделл#Владислав Резник#Виктор Добронравов
Ричард Окделл#Денис Нурулин#Иван Трушин
принц Альдо Ракан#Анар Халилов#Антон Рогачёв
Мэллит#Валентина Ляпина#Валентина Ляпина
Матильда Ракан#Екатерина Волкова#Оксана Базилевич
Робер Эпинэ#Павел Крайнов#Павел Чинарёв
король Фердинанд Оллар#Денис Самойлов#Михаил Тройник
королева Катари Оллар#Юлия Хлынина#Любовь Константинова
отец Герман#Сергей Гилёв#Иван Добронравов
Эстебан Колиньяр#Сергей Горошко#Алексей Лукин
Айрис Окделл#Варвара Комарова#Ксения Трейстер
Мирабелла Окделл#Ульяна Лукина#Юлия Марченко
Енниоль Гавионн#Кирилл Козаков#Евгений Стычкин
кардинал Сильвестр#Юрий Беляев#Евгений Сидихин
