клуб#главный_тренер#капитан
АБФФ U-19#Сергей Сосновский#Никита Матысюк
БАТЭ-2#Артём Концевой#Максим Телеш
Белшина#Игорь Трухов#Вадим Бальбух
Барановичи#Роман Киренкин#Мартин Артюх
Бумпром#Алексей Кравченко#Дмитрий Градобоев
Волна#Сергей Шульжик#Виталий Кибук
Гомель-2#Андрей Юсипец#Максим Дроздов
Динамо-БГУФК#Вячеслав Геращенко#Тимур Дубович
Днепр-Могилёв#Олег Радушко#Красимир Капов
Лида#Добровольский Алексей#Антон Лазарев
Локомотив#Андрей Морозов#Евгений Милевский
Минск-2#Александр Давидович#Иван Родионов
Нива#Андрей Прокопюк#Владимир Щербо
Орша#Николай Китаев#Дмитрий Тамело
Островец#Юрий Каратай#Егор Семёнов
Слоним-2017#Сергей Подрецкий#Андрей Агапов
Осиповичи#Андрей Лясюк#Александр Емельянов
Юни Икс Лабс#Сергей Павлюкович#Алексей Тараканов
