призёры_в_личных_соревнованиях_(сабля)#призёры_в_личных_соревнованиях_(сабля).1#призёры_в_личных_соревнованиях_(сабля).2#призёры_в_личных_соревнованиях_(сабля).3
Игры#Золото#Серебро#Бронза
1896 Афины см. подробнее#Иоаннис Георгиадис (GRE)#Телемахос Каракалос (GRE)#Хольгер Нильсен (DEN)
1900 Париж см. подробнее#Жорж де ла Фалез (FRA)#Леон Тьебо (FRA)#Зигфрид Флеш (AUT)
1904 Сент-Луис см. подробнее#Мануэль Диас (CUB)#Уильям Гриб (USA)#Альбертсон Ван Зо Пост (USA)
1908 Лондон см. подробнее#Енё Фукс (HUN)#Бела Зулавски (HUN)#Вилем Гоппольд фон Лобсдорф (BOH)
1912 Стокгольм см. подробнее#Енё Фукс (HUN)#Бела Бекешши (HUN)#Эрвин Месарош (HUN)
1920 Антверпен см. подробнее#Недо Нади (ITA)#Альдо Нади (ITA)#Адрианус де Йонг (NED)
1924 Париж см. подробнее#Шандор Пошта (HUN)#Роже Дюкре (FRA)#Янош Гараи (HUN)
1928 Амстердам см. подробнее#Эдён Терстянски (HUN)#Аттила Печауэр (HUN)#Бино Бини (ITA)
1932 Лос-Анджелес см. подробнее#Дьёрдь Пиллер (HUN)#Джулио Гаудини (ITA)#Эндре Кабош (HUN)
1936 Берлин см. подробнее#Эндре Кабош (HUN)#Густаво Марци (ITA)#Аладар Геревич (HUN)
1948 Лондон см. подробнее#Аладар Геревич (HUN)#Винченцо Пинтон (ITA)#Пал Ковач (HUN)
1952 Хельсинки см. подробнее#Пал Ковач (HUN)#Аладар Геревич (HUN)#Тибор Берцей (HUN)
1956 Мельбурн см. подробнее#Рудольф Карпати (HUN)#Ежи Павловский (POL)#Лев Кузнецов (URS)
1960 Рим см. подробнее#Рудольф Карпати (HUN)#Золтан Хорват (HUN)#Владимиро Каларезе (ITA)
1964 Токио см. подробнее#Тибор Пежа (HUN)#Клод Арабо (FRA)#Умяр Мавлиханов (URS)
1968 Мехико см. подробнее#Ежи Павловский (POL)#Марк Ракита (URS)#Тибор Пежа (HUN)
1972 Мюнхен см. подробнее#Виктор Сидяк (URS)#Петер Марот (HUN)#Владимир Назлымов (URS)
1976 Монреаль см. подробнее#Виктор Кровопусков (URS)#Владимир Назлымов (URS)#Виктор Сидяк (URS)
1980 Москва см. подробнее#Виктор Кровопусков (URS)#Михаил Бурцев (URS)#Имре Гедёвари (HUN)
1984 Лос-Анджелес см. подробнее#Жан-Франсуа Ламур (FRA)#Марко Марин (ITA)#Питер Уэстбрук (USA)
1988 Сеул см. подробнее#Жан-Франсуа Ламур (FRA)#Януш Олех (POL)#Джованни Скальцо (ITA)
1992 Барселона см. подробнее#Бенце Сабо (HUN)#Марко Марин (ITA)#Жан-Франсуа Ламур (FRA)
1996 Атланта см. подробнее#Станислав Поздняков (RUS)#Сергей Шариков (RUS)#Дамьен Туйя (FRA)
2000 Сидней см. подробнее#Михай Ковалиу (ROU)#Матьё Гурден (FRA)#Вирадех Котны (GER)
2004 Афины см. подробнее#Альдо Монтано (ITA)#Жолт Немчик (HUN)#Владислав Третьяк (UKR)
2008 Пекин см. подробнее#Чжун Мань (CHN)#Николя Лопес (FRA)#Михай Ковалиу (ROU)
2012 Лондон см. подробнее#Арон Силадьи (HUN)#Диего Оккьюцци (ITA)#Николай Ковалёв (RUS)
2016 Рио-де-Жанейро см. подробнее#Арон Силадьи (HUN)#Дэрил Хомер (USA)#Ким Джон Хван (KOR)
2020 Токио см. подробнее#Арон Силадьи (HUN)#Луиджи Самеле (ITA)#Ким Джон Хван (KOR)
