№#название_(англ.)#округ#население_(оценка_2013 года)#население_(перепись_2010 года)#площадь_(км²)
1#Шайенн (Cheyenne)#Ларами#62 448#59 466#64
2#Каспер (Casper)#Натрона#59 628#55 316#70
3#Ларами (Laramie)#Олбани#31 814#30 816#46
4#Джиллетт (Gillette)#Кэмпбелл#31 797#29 087#49
5#Рок-Спрингс (Rock Springs)#Суитуотер#24 138#23 036#50
6#Шеридан (Sheridan)#Шеридан#17 828#17 444#28
7#Грин-Ривер (Green River)#Суитуотер#12 752#12 515#36
8#Эванстон (Evanston)#Уинта#12 295#12 359#27
9#Ривертон (Riverton)#Фримонт#10 990#10 615#26
10#Джексон (Jackson)#Титон#10 135#9577#8
11#Коди (Cody)#Парк#9833#9520#27
12#Ролинс (Rawlins)#Карбон#9173#9259#21
13#Ландер (Lander)#Фримонт#7732#7487#12
14#Торрингтон (Torrington)#Гошен#6800#6501#12
15#Пауэлл (Powell)#Парк#6476#6314#11
16#Дуглас (Douglas)#Конверс#6469#6120#12
17#Уэрленд (Worland)#Уошаки#5456#5487#12
18#Баффало (Buffalo)#Джонсон#4638#4585#12
19#Уитленд (Wheatland)#Платт#3652#3627#11
20#Милс (Mills)#Натрона#3568#3461#6
21#Ньюкасл (Newcastle)#Уэстон#3521#3532#7
22#Термополис (Thermopolis)#Хот-Спрингс#3038#3009#6
23#Эвансвилл (Evansville)#Натрона#2850#2544#9
24#Кеммерер (Kemmerer)#Линкольн#2700#2656#20
25#Бар-Нанн (Bar Nunn)#Натрона#2646#2213#5
26#Гленрок (Glenrock)#Конверс#2637#2576#6
27#Ловелл (Lovell)#Биг-Хорн#2423#2360#3
28#Лаймен (Lyman)#Уинта#2096#2115#4
