название#площадь_(км²)#население_(2020)#координаты#комарка
Адзанета исп. Adzaneta, кат. Atzeneta del Maestrat#712#1304#40°12′59″ с. ш. 0°10′15″ з. д.HGЯO#Алькалатен
Аин исп. Ahín, кат. Aín#123#123#39°54′02″ с. ш. 0°20′27″ з. д.HGЯO#Плана-Баха
Альбокасер исп. Albocácer, кат. Albocàsser#823#1227#40°21′27″ с. ш. 0°01′27″ в. д.HGЯO#Альто-Маэстрасго
Алькала-де-Чиверт исп. Alcalá de Chivert, кат. Alcalà de Xivert#16756#6638#40°18′13″ с. ш. 0°13′30″ в. д.HGЯO#Бахо-Маэстрасго
Алькора исп. Alcora, кат. L'Alcora#949#10 417#40°04′26″ с. ш. 0°12′47″ з. д.HGЯO#Алькалатен
Алькудия-де-Вео исп. Alcudia de Veo, кат. L'Alcúdia de Veo#3066#188#39°54′58″ с. ш. 0°21′19″ з. д.HGЯO#Плана-Баха
Альфондегилья исп. и кат. Alfondeguilla#2833#862#39°50′16″ с. ш. 0°16′07″ з. д.HGЯO#Плана-Баха
Альхимия-де-Альмонасид исп. Algimia de Almonacid, кат. Algímia d'Almonesir#2033#262#39°54′51″ с. ш. 0°26′32″ з. д.HGЯO#Альто-Палансия
Альмасора исп. Almazora, кат. Almassora#3298#26 742#39°56′43″ с. ш. 0°03′49″ з. д.HGЯO#Плана-Альта
Альмедихар исп. Almedíjar, кат. Almedíxer#209#244#39°52′22″ с. ш. 0°24′31″ з. д.HGЯO#Альто-Палансия
Альменара исп. и кат. Almenara#276#6090#39°45′05″ с. ш. 0°13′24″ з. д.HGЯO#Плана-Баха
Алькериас-дель-Ниньо-Пердидо исп. Alquerías del Niño Perdido, кат. Les Alqueries#1261#4464#39°53′47″ с. ш. 0°06′52″ з. д.HGЯO#Плана-Баха
Альтура исп. и кат. Altura#1295#3601#39°51′05″ с. ш. 0°30′38″ з. д.HGЯO#Альто-Палансия
Араньуэль исп. Arañuel, кат. Aranyel#1916#151#40°04′18″ с. ш. 0°28′55″ з. д.HGЯO#Альто-Михарес
Арес-дель-Маэстре исп. Ares del Maestre, кат. Ares del Maestrat#11867#184#40°27′23″ с. ш. 0°07′55″ з. д.HGЯO#Альто-Маэстрасго
Архелита исп. Argelita, кат. Argeleta#1547#126#40°03′16″ с. ш. 0°21′01″ з. д.HGЯO#Альто-Михарес
Артана исп. и кат. Artana#3633#1955#39°53′29″ с. ш. 0°15′28″ з. д.HGЯO#Плана-Баха
Айодар исп. Ayódar, кат. Aiòder#2436#153#39°59′54″ с. ш. 0°22′29″ з. д.HGЯO#Альто-Михарес
Асуэбар исп. Azuébar, кат. Assuévar#234#310#39°50′03″ с. ш. 0°22′11″ з. д.HGЯO#Альто-Палансия
Барракас исп. Barracas, кат. Barraques#421#168#40°01′00″ с. ш. 0°41′52″ з. д.HGЯO#Альто-Палансия
Бехис исп. Bejís, кат. Begís#424#371#39°54′35″ с. ш. 0°42′28″ з. д.HGЯO#Альто-Палансия
Бенафер исп. и кат. Benafer#170#164#39°56′03″ с. ш. 0°34′40″ з. д.HGЯO#Альто-Палансия
Бенафигос исп. и кат. Benafigos#356#138#40°16′36″ с. ш. 0°12′33″ з. д.HGЯO#Алькалатен
Бенасаль исп. Benasal, кат. Benassal#7958#1063#40°22′47″ с. ш. 0°08′32″ з. д.HGЯO#Альто-Маэстрасго
Беникарло исп. и кат. Benicarló#4786#27 363#40°25′06″ с. ш. 0°25′24″ в. д.HGЯO#Бахо-Маэстрасго
Беникасим исп. Benicasim, кат. Benicàssim#361#18 364#40°03′21″ с. ш. 0°03′52″ в. д.HGЯO#Плана-Альта
Бенльок исп. Benlloch, кат. Benlloc#4352#1048#40°12′35″ с. ш. 0°01′46″ в. д.HGЯO#Плана-Альта
