название#площадь_(км²)#население_(2020)#координаты
Абадес исп. Abades#31.0#857#40°54′54″ с. ш. 4°16′06″ з. д.HGЯO
Адрада-де-Пирон исп. Adrada de Pirón#10.0#37#41°03′07″ с. ш. 4°03′03″ з. д.HGЯO
Адрадос исп. Adrados#16.0#127#41°22′06″ с. ш. 4°06′46″ з. д.HGЯO
Агилафуэнте исп. Aguilafuente#60.0#566#41°13′35″ с. ш. 4°06′46″ з. д.HGЯO
Альконада-де-Мадеруэло исп. Alconada de Maderuelo#12.0#23#41°27′00″ с. ш. 3°29′09″ з. д.HGЯO
Альдеа-Реаль исп. Aldea Real#25.0#279#41°11′06″ с. ш. 4°09′56″ з. д.HGЯO
Альдеалькорво исп. Aldealcorvo#5.0#20#41°14′38″ с. ш. 3°47′31″ з. д.HGЯO
Альдеаленгва-де-Педраса исп. Aldealengua de Pedraza#35.0#73#41°03′52″ с. ш. 3°48′22″ з. д.HGЯO
Альдеаленгва-де-Санта-Мария исп. Aldealengua de Santa María#19.0#64#41°27′43″ с. ш. 3°28′00″ з. д.HGЯO
Альдеануэва-де-ла-Серресуэла исп. Aldeanueva de la Serrezuela#20.0#40#41°27′37″ с. ш. 3°46′52″ з. д.HGЯO
Альдеануэва-дель-Кодональ исп. Aldeanueva del Codonal#21.0#113#41°05′00″ с. ш. 4°32′36″ з. д.HGЯO
Альдеасония исп. Aldeasoña#18.0#56#41°28′21″ с. ш. 4°03′22″ з. д.HGЯO
Альдеорно исп. Aldehorno#13.0#53#41°30′46″ с. ш. 3°46′41″ з. д.HGЯO
Альдеуэла-дель-Кодональ исп. Aldehuela del Codonal#13.0#23#41°03′18″ с. ш. 4°32′16″ з. д.HGЯO
Альдеонте исп. Aldeonte#20.0#57#41°21′03″ с. ш. 3°40′40″ з. д.HGЯO
Аная исп. Anaya#15.0#125#40°59′29″ с. ш. 4°18′31″ з. д.HGЯO
Анье исп. Añe#1162.0#72#41°02′18″ с. ш. 4°17′47″ з. д.HGЯO
Арауэтес исп. Arahuetes#1636.0#28#41°08′16″ с. ш. 3°51′24″ з. д.HGЯO
Арконес исп. Arcones#3175.0#145#41°07′07″ с. ш. 3°43′27″ з. д.HGЯO
Аревалильо-де-Сега исп. Arevalillo de Cega#1159.0#19#41°09′41″ с. ш. 3°53′19″ з. д.HGЯO
Армуния исп. Armuña#46.0#234#41°04′38″ с. ш. 4°19′09″ з. д.HGЯO
Айльон исп. Ayllón#126.0#1182#41°25′10″ с. ш. 3°22′35″ з. д.HGЯO
Барболья исп. Barbolla#26.0#158#41°19′33″ с. ш. 3°40′21″ з. д.HGЯO
Басардилья исп. Basardilla#19.0#143#41°01′01″ с. ш. 4°01′01″ з. д.HGЯO
Берсиаль исп. Bercial#21.0#109#40°54′22″ с. ш. 4°26′11″ з. д.HGЯO
Берсимуэль исп. Bercimuel#12.0#22#41°23′56″ с. ш. 3°34′12″ з. д.HGЯO
Бернардос исп. Bernardos#29.0#465#41°07′40″ с. ш. 4°21′04″ з. д.HGЯO
Бернуй-де-Поррерос исп. Bernuy de Porreros#927.0#766#40°59′59″ с. ш. 4°07′00″ з. д.HGЯO
Босегильяс исп. Boceguillas#4154.0#719#41°20′15″ с. ш. 3°38′24″ з. д.HGЯO
Брьева исп. Brieva#1370.0#93#41°02′04″ с. ш. 4°03′12″ з. д.HGЯO
Кабальяр исп. Caballar#17.0#82#41°07′15″ с. ш. 3°57′54″ з. д.HGЯO
Кабаньяс-де-Полендос исп. Cabañas de Polendos#2641.0#171#41°04′01″ с. ш. 4°06′36″ з. д.HGЯO
Кабесуэла исп. Cabezuela#3525.0#644#41°14′07″ с. ш. 3°55′58″ з. д.HGЯO
Калабасас-де-Фуэнтидуэния исп. Calabazas de Fuentidueña#15.0#26#41°26′44″ с. ш. 4°00′37″ з. д.HGЯO
