nr#nation#guld#silver#brons#totalt
<NA>#International Judo Federation (IJF)#3#3#2#8
1#Frankrike (FRA)#3#2#5#10
2#Georgien (GEO)#3#2#0#5
3#Italien (ITA)#1#3#5#9
4#Tyskland (GER)#1#1#2#4
5#Portugal (POR)#1#1#0#2
6#Tjeckien (CZE)#1#0#1#2
7#Kosovo (KOS)#1#0#0#1
7#Ungern (HUN)#1#0#0#1
9#Azerbajdzjan (AZE)#0#1#4#5
10#Grekland (GRE)#0#1#0#1
10#Israel (ISR)#0#1#0#1
12#Nederländerna (NED)#0#0#3#3
13#Serbien (SRB)#0#0#2#2
14#Belgien (BEL)#0#0#1#1
14#Bulgarien (BUL)#0#0#1#1
14#Finland (FIN)#0#0#1#1
14#Kroatien (CRO)#0#0#1#1
14#Spanien (ESP)#0#0#1#1
14#Ukraina (UKR)#0#0#1#1
Totalt (19 nationer)#Totalt (19 nationer)#15#15#30#60
