#häst#efter#ålder#tränare#nationalitet
1#Go On Boy#Password#9#Romain Derieux#Frankrike
2#Logan Park#Archangel#7#Robert Fellows#Kanada
3#Borups Victory#Googoo Gaagaa#7#Daniel Wäjersten#Sverige
4#The Locomotive#Muscle Mass#5#Brad Hewitt#Australien
5#Francesco Zet#Father Patrick#7#Daniel Redén#Sverige
6#Etonnant#Timoko#11#Richard Westerink#Frankrike
7#A Fair Day#Maharajah#6#Elisabeth Almheden#Sverige
8#Mellby Knekt#Mellby Viking#6#Timo Nurmos#Sverige
9#Mellby Jinx#Ready Cash#7#Daniel Wäjersten#Sverige
10#Don Fanucci Zet#Hard Livin#9#Daniel Redén#Sverige
11#Always Ek#Filipp Roc#9#Alessandro Gocciadoro#Italien
12#Hohneck#Royal Dream#8#Philippe Allaire#Frankrike
13#Hussard du Landret#Bird Parker#8#Benoît Robin#Frankrike
14#Charron#Code Bon#5#Geir Vegard Gundersen#Norge
15#Massimo Hoist#Muscle Hill#6#Jukka Hakkarainen#Finland
16#Hooker Berry#Booster Winner#8#Franck Leblanc#Frankrike
