titel#namn.1#tillträdde#parti
Förbundskansler#Friedrich Merz#6 maj 2025#CDU
Finansminister samt Vicekansler#Lars Klingbeil#6 maj 2025#SPD
Inrikesminister#Alexander Dobrindt#6 maj 2025#CSU
Näringslivs- och energiminister#Katherina Reiche#6 maj 2025#CDU
Utrikesminister#Johann Wadephul#6 maj 2025#CDU
Justitieminister#Stefanie Hubig#6 maj 2025#SPD
Försvarsminister#Boris Pistorius#19 januari 2023#SPD
Arbets- och socialminister#Bärbel Bas#6 maj 2025#SPD
Jordbruks- och livsmedelsminister#Alois Rainer#6 maj 2025#CSU
Utbildningsminister#Karin Prien#6 maj 2025#CDU
Hälsominister#Nina Warken#6 maj 2025#CDU
Transportminister#Patrick Schneider#6 maj 2025#CDU
Miljöminister#Carsten Scnheider#6 maj 2025#SPD
Digitaliseringsminister#Karsten Wildberger#6 maj 2025#Partilös
Forskningsminister#Dorothee Bär#6 maj 2025#CSU
Utvecklingsminister och minister för näringslivssamarbete#Reem Alabali-Radovan#6 maj 2025#SPD
Minister för bostäder, stadsutveckling och byggande#Verena Hubertz#6 maj 2025#SPD
Minister med särskilda uppgifter och chef för Förbundskanslerämbetet#Thorsten Frei#6 maj 2025#CDU
