kod#kommun#yta_km²#befolkning_(2013)#täthet_inv/km²
1#Abanilla#23562#6 560#2784
2#Abarán#11494#13 157#11447
3#Águilas#25177#34 930#13874
4#Albudeite#1702#1 371#8055
5#Alcantarilla#1624#40 695#250585
902#Alcázares, Los#1982#16 568#83592
6#Aledo#4974#1 004#2018
7#Alguazas#2374#9 544#40202
8#Alhama de Murcia#31155#21 182#6799
9#Archena#1640#18 369#112006
10#Beniel#1006#11 160#110934
11#Blanca#8732#6 460#7398
12#Bullas#8217#12 288#14954
13#Calasparra#18490#10 558#5710
14#Campos del Río#4729#2 176#4601
15#Caravaca de la Cruz#85876#26 024#3030
16#Cartagena#55808#217 641#38998
17#Cehegín#29929#16 267#5435
18#Ceutí#1025#10 967#106995
19#Cieza#36702#35 240#9602
20#Fortuna#14933#9 623#6444
21#Fuente Álamo de Murcia#27352#16 679#6098
22#Jumilla#96900#25 710#2653
23#Librilla#5650#4 839#8565
24#Lorca#167521#92 718#5535
25#Lorquí#1575#6 954#44152
26#Mazarrón#31187#35 661#11435
27#Molina de Segura#16950#68 450#40383
28#Moratalla#95482#8 229#862
29#Mula#63406#17 057#2690
30#Murcia#88600#438 246#49463
31#Ojós#4528#531#1173
32#Pliego#2943#3 901#13255
33#Puerto Lumbreras#14481#14 564#10057
34#Ricote#8667#1 417#1635
35#San Javier#7510#32 786#43656
36#San Pedro del Pinatar#2232#24 102#107984
901#Santomera#4420#15 793#35731
37#Torre-Pacheco#18940#33 575#17727
38#Torres de Cotillas, Las#3878#21 565#55609
39#Totana#28893#30 448#10538
40#Ulea#4004#935#2335
41#Unión, La#2479#19 263#77705
42#Villanueva del Río Segura#1318#2 449#18581
43#Yecla#60564#34 393#5679
