no.#title#release_date#isbn
1#Hikuidori (火喰鳥)#March 13, 2017#978-4-396-34298-2
2#Yakokugarasu (夜哭烏)#July 10, 2017#978-4-396-34337-8
3#Kumonryū (九紋龍)#November 13, 2017#978-4-396-34375-0
4#Onikiseru (鬼煙管)#February 13, 2018#978-4-396-34397-2
5#Bosatsuka (菩薩花)#May 9, 2018#978-4-396-34423-8
6#Yumekochō (夢胡蝶)#August 7, 2018#978-4-396-34448-1
7#Kitsunehanabi (狐花火)#November 12, 2018#978-4-396-34475-7
8#Gyokukirin (玉麒麟)#March 11, 2019#978-4-396-34504-4
9#Sōufushin (双風神)#July 12, 2019#978-4-396-34546-4
0#Koganehina (黄金雛)#November 11, 2019#978-4-396-34580-8
10#Kasanetaihō (part 1) (襲大鳳（上）)#August 12, 2020#978-4-396-34594-5
11#Kasanetaihō (part 2) (襲大鳳（下）)#November 15, 2020#978-4-396-34623-2
SS#Koiorochi (恋大蛇)#March 19, 2022#978-4-396-34799-4
