no.#release_date#isbn
1#April 17, 2023#978-4-06-531266-7
2#June 15, 2023#978-4-06-531886-7
3#August 17, 2023#978-4-06-532617-6
4#October 17, 2023#978-4-06-533159-0
5#January 17, 2024#978-4-06-534181-0
6#April 17, 2024#978-4-06-535190-1
7#July 17, 2024#978-4-06-536122-1
8#October 17, 2024#978-4-06-537131-2
9#January 17, 2025#978-4-06-537772-7
10#March 17, 2025#978-4-06-538716-0
11#June 17, 2025#978-4-06-539767-1
12#October 17, 2025#978-4-06-541115-5
13#January 16, 2026#978-4-06-542215-1
14#March 17, 2026#978-4-06-543003-3
