no.#release_date#isbn
1#August 9, 2022#978-4-06-528636-4
2#October 7, 2022#978-4-06-529415-4
3#December 9, 2022#978-4-06-529943-2
4#February 9, 2023#978-4-06-530623-9
5#May 9, 2023#978-4-06-531563-7
6#July 7, 2023#978-4-06-532176-8
7#September 8, 2023#978-4-06-532885-9
8#December 7, 2023#978-4-06-533511-6
9#February 8, 2024#978-4-06-534555-9
10#April 9, 2024#978-4-06-535167-3
11#July 9, 2024#978-4-06-536121-4
12#September 9, 2024#978-4-06-536759-9
13#November 8, 2024#978-4-06-537419-1
14#February 7, 2025#978-4-06-538404-6
15#April 9, 2025#978-4-06-539049-8
16#June 9, 2025#978-4-06-539755-8
17#September 9, 2025#978-4-06-540689-2
18#November 7, 2025#978-4-06-541535-1
19#February 9, 2026#978-4-06-542590-9
