ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[24]_nationwide#average_audience_share_(nielsen_korea)[24]_seoul
1#January 2, 2026#4.3% (12th)#4.1% (11th)
2#January 3, 2026#4.4% (12th)#4.2% (13th)
3#January 9, 2026#5.8% (7th)#6.2% (6th)
4#January 10, 2026#5.8% (5th)#5.9% (4th)
5#January 16, 2026#10.0% (1st)#10.1% (1st)
6#January 17, 2026#11.0% (2nd)#11.4% (2nd)
7#January 23, 2026#11.4% (1st)#12.0% (1st)
8#January 24, 2026#10.8% (2nd)#10.8% (2nd)
9#January 30, 2026#13.5% (1st)#14.7% (1st)
10#January 31, 2026#10.9% (2nd)#11.7% (2nd)
11#February 6, 2026#13.2% (1st)#14.2% (1st)
12#February 7, 2026#11.5% (2nd)#12.1% (2nd)
13#February 13, 2026#<NA>#<NA>
14#February 14, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
