contestant_contestant#episode_1[6][b]#episode_2#episode_3#episode_4#episode_5#episode_6
Athena Dion#SAFE#SAFE#SAFE#SAFE#Guest#WIN
Darlene Mitchell#SAFE#SAFE#SAFE#SAFE#SAFE#Guest
Discord Addams#SAFE#SAFE#SAFE#SAFE#Guest#SAFE
Jane Don't#SAFE#WIN#SAFE#SAFE#Guest#TOP2
Juicy Love Dion#SAFE#SAFE#WIN#SAFE#WIN#Guest
Kenya Pleaser#BTM#SAFE#SAFE#BTM#Guest#SAFE
Mia Starr#SAFE#SAFE#SAFE#SAFE#WIN#Guest
Myki Meeks#SAFE#SAFE#SAFE#SAFE#Guest#BTM
Nini Coco#WIN#SAFE#SAFE#SAFE#SAFE#Guest
Vita VonTesse Starr#TOP2#SAFE#SAFE#WIN#SAFE#Guest
Ciara Myst#SAFE#SAFE#SAFE#SAFE#ELIM#ELIM
Briar Blush#SAFE#SAFE#BTM#ELIM#<NA>#<NA>
Mandy Mango#BTM#BTM#ELIM#<NA>#<NA>#<NA>
DD Fuego#SAFE#ELIM#<NA>#<NA>#<NA>#<NA>
