ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[26]_nationwide#average_audience_share_(nielsen_korea)[26]_seoul
1#January 30, 2026#2.815% (1st)#3.023% (1st)
2#February 6, 2026#3.054% (1st)#3.345% (1st)
3#February 13, 2026#% (TBA)#% (TBA)
4#February 20, 2026#% (TBA)#% (TBA)
5#February 27, 2026#% (TBA)#% (TBA)
6#March 6, 2026#% (TBA)#% (TBA)
7#March 13, 2026#% (TBA)#% (TBA)
8#March 20, 2026#% (TBA)#% (TBA)
9#March 27, 2026#% (TBA)#% (TBA)
10#April 3, 2026#% (TBA)#% (TBA)
Average#Average#%#%
