contestant#age#hometown#original_season(s)#original_placement(s)
Fontana#32#Stockholm, Sweden#Sverige season 1#Runner-up
Gawdland#24#Chiang Mai, Thailand#Thailand season 3#3rd place
Kate Butch#29#Buxton, United Kingdom#UK series 5#5th place
Mariah Balenciaga[b]#43#Los Angeles, United States#US season 3#9th place
Mariah Balenciaga[b]#43#Los Angeles, United States#All Stars 5#8th place
Minty Fresh#35#Quezon City, Philippines#Philippines season 1#5th place
Serena Morena#37#Aguascalientes, Mexico#México season 1#8th place
Sminty Drop#26#Clitheroe, United Kingdom#UK series 4#9th place
The Only Naomy#25#Cologne, Germany#Germany season 1#10th place
Zahirah Zapanta#29#Nottingham, United Kingdom#UK series 6#10th place
Melinda Verga#47#Edmonton, Canada#Canada season 4#5th place
