rank#pair#lane#name#country#time#diff
<NA>#6#i#Ragne Wiklund#Norway#1:56.24#<NA>
<NA>#6#o#Nikola Zdráhalová#Czech Republic#1:56.53#+0.29
<NA>#2#i#Chloé Hoogendoorn#Netherlands#1:57.64#+1.40
4.0#5#i#Meike Veen#Netherlands#1:57.84#+1.60
5.0#7#o#Natalia Czerwonka#Poland#1:58.49#+2.25
6.0#2#o#Isabel Grevelt#Netherlands#1:59.20#+2.96
7.0#7#i#Francesca Lollobrigida#Italy#1:59.63#+3.39
8.0#3#i#Aurora Grinden Løvås#Norway#2:00.27#+4.03
9.0#4#i#Natalia Jabrzyk#Poland#2:00.93#+4.69
10.0#4#o#Emily Tormen#Italy#2:00.96#+4.72
11.0#8#o#Zofia Braun#Poland#2:01.15#+4.91
12.0#5#o#Isabel Kraus#Germany#2:02.91#+6.67
13.0#1#o#Marlen Ehseluns#Germany#2:05.38#+9.14
14.0#1#i#Lucie Korvasová#Czech Republic#2:07.48#+11.24
15.0#3#o#Abigél Mercs#Hungary#2:09.56#+13.32
16.0#8#i#Isabelle van Elst#Belgium#Did not finish#Did not finish
