rank#pair#lane#name#country#time#diff
<NA>#9#o#Damian Zurek#Poland#34.52#<NA>
<NA>#8#o#Marek Kania#Poland#34.82#+0.30
<NA>#9#i#Bjørn Magnussen#Norway#35.12#+0.60
4.0#7#i#Merijn Scheperkamp#Netherlands#35.246#+0.72
5.0#10#o#Marten Liiv#Estonia#35.249#+0.72
6.0#7#o#Nil Llop#Spain#35.32#+0.80
7.0#5#i#Jeffrey Rosanelli#Italy#35.45#+0.93
8.0#1#o#Tim Prins#Netherlands#35.49#+0.97
9.0#8#i#Piotr Michalski#Poland#35.53#+1.01
10.0#6#o#Henrik Fagerli Rukke#Norway#35.60#+1.08
11.0#6#i#Siver Brattgjerd#Norway#35.66#+1.14
12.0#5#o#David Bosa#Italy#35.81#+1.29
13.0#2#i#Maximilian Strübe#Germany#35.92#+1.40
14.0#3#o#Daniel Milagros#Spain#36.02#+1.50
15.0#2#o#Oliver Grob#Switzerland#36.15#+1.63
16.0#3#i#Kai in 't Veld#Greece#36.18#+1.66
17.0#4#o#Ignaz Gschwentner#Austria#36.50#+1.98
18.0#4#i#Tuukka Suomalainen#Finland#36.78#+2.26
19.0#1#i#Lukács Soma#Hungary#36.82#+2.30
20.0#10#i#Stefan Westenbroek#Netherlands#Did not finish#Did not finish
