rank#pair#lane#name#country#time#diff
<NA>#10#o#Peder Kongshaug#Norway#1:46.08#<NA>
<NA>#5#i#Vladimir Semirunnyi#Poland#1:46.50#+0.42
<NA>#9#o#Tim Prins#Netherlands#1:46.61#+0.53
4.0#9#i#Gabriel Odor#Austria#1:46.82#+0.74
5.0#4#o#Louis Hollaar#Netherlands#1:47.09#+1.01
6.0#7#o#Valentin Thiebault#France#1:47.33#+1.25
7.0#6#o#Alexander Farthofer#Austria#1:47.35#+1.27
8.0#8#i#Daniele Di Stefano#Italy#1:47.51#+1.43
9.0#7#i#Finn Elias Haneberg#Norway#1:47.59#+1.51
10.0#10#i#Wesly Dijs#Netherlands#1:47.69#+1.61
11.0#8#o#Didrik Eng Strand#Norway#1:47.71#+1.63
12.0#3#i#Stefan Emele#Germany#1:47.90#+1.82
13.0#5#o#Mathias Vosté#Belgium#1:48.58#+2.50
14.0#1#i#Francesco Betti#Italy#1:48.69#+2.61
15.0#6#i#Szymon Wojtakowski#Poland#1:49.25#+3.17
16.0#2#o#Kai in 't Veld#Greece#1:49.32#+3.24
17.0#4#i#Tom Rudolph#Germany#1:49.85#+3.77
18.0#1#o#Luca Matteo Stibenz#Germany#1:50.51#+4.43
19.0#3#o#Tadeáš Procházka#Czech Republic#1:54.02#+7.94
<NA>#2#i#Bálint Bödei#Hungary#Disqualified#Disqualified
