rank#pair#lane#name#country#time#diff
<NA>#8#o#Nikola Zdráhalova#Czech Republic#1:16.06#<NA>
<NA>#5#o#Chloé Hoogendoorn#Netherlands#1:16.34#0.28
<NA>#1#i#Isabel Grevelt#Netherlands#1:16.37#0.31
4.0#4#o#Naomi Verkerk#Netherlands#1:16.41#0.35
5.0#6#i#Isabelle van Elst#Belgium#1:16.84#0.78
6.0#7#o#Sofia Thorup#Denmark#1:16.99#0.93
7.0#7#i#Natalia Czerwonka#Poland#1:17.46#1.4
8.0#6#o#Karolina Bosiek#Poland#1:17.96#1.9
9.0#5#i#Anna Ostlender#Germany#1:18.21#2.15
10.0#3#o#Julie Nistad Samsonsen#Norway#1:18.60#2.54
11.0#8#i#Iga Wojtasik#Poland#1:18.78#2.72
12.0#3#i#Maybritt Vigl#Italy#1:19.35#3.29
13.0#2#o#Josephine Helmerl#Germany#1:20.07#4.01
14.0#2#i#Katja Franzen#Germany#1:20.32#4.26
15.0#4#i#Serena Pergher#Italy#1:20.61#4.55
