rank#name#country#points#time
<NA>#Sofia Thorup#Denmark#60#8:39.72
<NA>#Francesca Lollobrigida#Italy#41#8:39.73
<NA>#Fran Vanhoutte#Belgium#20#8:40.02
4.0#Hanna Mazur#Poland#10#8:40.18
5.0#Kim Talsma#Netherlands#6#8:41.34
6.0#Ashley Völker#Germany#3#8:41.81
7.0#Aurora Grinden Løvås#Norway#3#8:49.12
8.0#Lucie Korvasová#Czech Republic#3#9:02.14
9.0#Natalia Jabrzyk#Poland#3#9:14.44
10.0#Gemma Cooper#Great Britain#3#9:16.64
11.0#Anna Molnar#Austria#2#8:52.41
12.0#Abigél Mercs#Hungary#2#8:59.17
13.0#Zuzana Kuršová#Czech Republic#1#8:57.97
14.0#Julia Nizan#France#0#8:41.96
15.0#Emily Tormen#Italy#0#8:42.00
16.0#Sanne in 't Hof#Netherlands#0#8:46.52
17.0#Melissa Schaefer#Germany#0#8:59.55
