skip#third#second#lead#alternate#coach#club(s)
Emma DeSchiffart#Abby Desormeau#Bethany Evans#Sarah Yarmuch#<NA>#Alison Thiessen#Saville Community SC, Edmonton
Ava Koe (Fourth)#Keelie Duncan (Skip)#Elizabeth Morgan#Carley Hardie#Kate Ector#Heather Rogers#The Glencoe Club, Calgary
Serena Gray-Withers#Catherine Clifford#Lindsey Burgess#Zoe Cinnamon#Atina Ford-Johnston#Lori Olson#Saville Community SC, Edmonton
Leslie Hammond#Emily Graham#Emily Deibert#Rachel Clark#<NA>#Jules Owchar#St. Albert CC, St. Albert
Michelle Hartwell#Ocean Pletz#Heather Steele#Jolene Tym#Deena Benoit#<NA>#Thistle CC, Edmonton
Krysta Hilker#Karynn Flory#Jamie Scott#Sydney Libbus#<NA>#Clair Murray#Ellerslie CC, Edmonton
Shianna Lind#Irelande McMahon#Kayleigh Shannon#Megan Chateauvert#<NA>#Chris Lind#Innisfail CC, Innisfail
Lisa Miller#Cindy Westgard#Erica Wiese#Ashley Kalk#<NA>#<NA>#Thistle CC, Edmonton Sherwood Park CC, Sherwood Park
Myla Plett#Alyssa Nedohin#Chloe Fediuk#Allie Iskiw#<NA>#David Nedohin Blair Lenton#Saville Community SC, Edmonton Sherwood Park CC, Sherwood Park
Gracelyn Richards#Emma Yarmuch#Sophia Ryhorchuk#Rachel Jacques#Amy Wheatcroft#Jessica Amundson#Saville Community SC, Edmonton
Amanda Sluchinski#Kate Goodhelpsen#Anna Munroe#Joanne Tarvit#<NA>#<NA>#Crestwood CC, Edmonton
Selena Sturmay#Danielle Schmiemann#Dezaray Hawes#Paige Papley#<NA>#Ted Appelman#Saville Community SC, Edmonton
