no.#pos.#nation#player
9#FW#GER#Semir Telalović (on loan to Arminia Bielefeld)
11#FW#UKR#Artem Stepanov (loan return to Bayer Leverkusen)
15#DF#GER#Tim Drexler (loan return to TSG Hoffenheim)
20#MF#SEN#Pape Demba Diop (loan return to Strasbourg)
22#MF#SLE#Hindolo Mustapha (loan return to Crystal Palace)
31#DF#GER#Robin Knoche (to Arminia Bielefeld)
38#MF#GER#Winners Osawe (on loan to Schweinfurt 05)
44#DF#CZE#Ondřej Karafiát (to Mladá Boleslav)
47#GK#SVK#Michal Kukučka (on loan to Koper)
<NA>#FW#GER#Dustin Forkel (on loan to Schweinfurt 05, previously on loan at Jahn Regensburg)
