skip#third#second#lead#coach#club
Adam Boland#Stephen Trickett#Zach Young#Alex Smith#Rob Thomas#RE/MAX Centre, St. John's
Barry Coady#Mitchell Ryall#James Efford#Jeremy Babstock#<NA>#RE/MAX Centre, St. John's
Ty Dilello#Ryan McNeil Lamswood#Daniel Bruce#Aaron Feltham#<NA>#RE/MAX Centre, St. John's
Brandon Gillespie#Owen Cousins#Craig Hurley#Jamie Hynes#<NA>#Goose Bay CC, Happy Valley-Goose Bay
Simon Perry#Nicholas Codner#Brayden Snow#Carter Holden#Glenn Goss#RE/MAX Centre, St. John's
Evan Kearley (Fourth)#Scott Eaton#Shawn Hawco#Kenny Saunders (Skip)#Shawn Kearley#RE/MAX Centre, St. John's
Cory Schuh#Scott McDonald#Spencer Wicks#Mike Mosher#<NA>#RE/MAX Centre, St. John's
Greg Smith#Carter Small#Scott Saccary#Sean O'Leary#Leslie Anne Walsh#RE/MAX Centre, St. John's
Andrew Symonds#Trent Skanes#Chris Ford#Keith Jewer#<NA>#RE/MAX Centre, St. John's
Parker Tipple#Spencer Tipple#Jack Kinsella#Jacob Hatcher#<NA>#RE/MAX Centre, St. John's
Nathan Young#Colin Thomas#Nathan Locke#Ben Stringer#Jeff Thomas#RE/MAX Centre, St. John's
